District;State;Central Government Schools;District ID;Female Gender;General Social Group;Government Aided Schools;Government Schools;Grade;Male Gender;OBC Social Group;Private School;Rural Location;SC Social Group;ST Social Group;State ID;Total Schools;Total Students;Total Teachers;Transgender;Urban Location
Kupwara;Jammu & Kashmir;0;101;50.702248;65.31792;0;54.395603;Grade 3;49.297752;20.375723;45.604397;92.03297;0.433526;13.00578;1;48;728;144;0;7.967033
Baramula;Jammu & Kashmir;8.484848;102;52.63975;86.419754;0;41.21212;Grade 3;47.36025;5.291005;50.303032;78.63636;0.52910054;6.878307;1;50;660;152;0;21.363636
Srinagar;Jammu & Kashmir;6.7150636;103;49.54628;91.84061;0;31.397459;Grade 3;50.45372;2.2770398;61.887478;1.2704175;0.7590133;5.1233397;1;42;551;122;0;98.72958
Badgam;Jammu & Kashmir;6.539075;104;47.049442;64.65364;0;47.84689;Grade 3;52.950558;26.820604;45.614037;80.0638;0.5328597;5.150977;1;50;627;150;0;19.936205
Pulwama;Jammu & Kashmir;1.7777778;105;48.897797;63.09013;0;61.77778;Grade 3;51.102203;15.450644;36.444443;84.666664;3.0042918;16.738197;1;46;900;138;0;15.333333
Anantnag;Jammu & Kashmir;0;106;49.393414;64.10714;0;44.52055;Grade 3;50.606586;10;55.47945;82.19178;0;25.178572;1;46;584;137;0;17.80822
Doda;Jammu & Kashmir;8.90937;109;48.233486;69.65174;0;45.16129;Grade 3;51.766514;1.1608623;45.92934;75.422424;12.769485;8.789387;1;51;651;146;0;24.577574
Udhampur;Jammu & Kashmir;15.254237;110;49.066216;60.85343;0;43.050846;Grade 3;50.933784;4.638219;41.694916;80.67796;24.675325;9.833024;1;47;590;140;0;19.322035
Punch;Jammu & Kashmir;0;111;48.479088;47.572815;0;58.93536;Grade 3;51.520912;8.932039;41.06464;94.86692;0.3883495;42.91262;1;47;526;138;0;5.13308
Rajauri;Jammu & Kashmir;9.693053;112;48.78837;45.908184;0;44.264942;Grade 3;51.21163;7.185629;46.042004;77.22132;3.992016;42.11577;1;47;619;130;0;22.778675
Jammu;Jammu & Kashmir;34.36426;113;51.431843;57.875458;0;33.676975;Grade 3;48.568157;6.105006;31.958763;54.180984;25.274725;10.01221;1;53;873;159;0;45.819016
Kathua;Jammu & Kashmir;14.925373;114;47.42952;62.02532;0;39.96683;Grade 3;52.57048;7.9566;45.107796;75.290215;20.614828;8.679928;1;48;603;130;0;24.709784
Shopian;Jammu & Kashmir;0;115;53.113552;63.481953;0;40.47619;Grade 3;46.886448;14.437367;59.52381;85.531136;0.21231422;18.471338;1;40;546;120;0;14.468864
Bandipora;Jammu & Kashmir;3.4358046;116;46.83544;66.09808;0;50.63291;Grade 3;53.16456;13.006396;45.931282;81.19349;0;20.895523;1;43;553;118;0;18.806509
Kishtwar;Jammu & Kashmir;5.576208;117;45.539032;61.309525;3.1598513;36.988846;Grade 3;54.460968;3.9682539;54.275093;80.85502;13.095238;18.25397;1;46;538;123;0;19.144981
Ramban;Jammu & Kashmir;0;118;47.058823;73.45795;0;47.87234;Grade 3;52.941177;1.8691589;52.12766;79.25532;4.4859815;14.579439;1;48;564;123;0;20.74468
Ganderbal;Jammu & Kashmir;0;119;49.36709;39.851025;0;62.56781;Grade 3;50.63291;23.277468;37.43219;98.73418;1.1173184;34.63687;1;40;553;116;0;1.2658228
Kulgam;Jammu & Kashmir;0;120;51.152073;78.006874;0;51.134644;Grade 3;48.847927;6.185567;48.865356;100;0.68728524;15.120275;1;49;661;136;0;0
Reasi;Jammu & Kashmir;5.9760957;121;42.828686;54.366814;0;40.239044;Grade 3;57.171314;11.353712;53.78486;73.70518;15.938865;17.467249;1;45;502;110;0;26.29482
Samba;Jammu & Kashmir;5.894737;122;50.31579;47.24576;0;33.473682;Grade 3;49.68421;8.898305;60.63158;76.8421;37.288136;6.5677967;1;35;475;97;0;23.157894
Chamba;Himachal Pradesh;21.398003;201;43.8152;58.139534;0;46.36234;Grade 3;56.1848;1.9677997;32.23966;86.16263;14.669052;25.223614;2;54;701;123;0;13.837376
Kangra;Himachal Pradesh;19.15167;202;47.943443;39.090908;0;41.902313;Grade 3;52.056557;30.12987;38.946014;95.37275;21.298702;9.480519;2;54;778;128;0;4.6272492
Lahul & Spiti;Himachal Pradesh;4.878049;203;47.96748;1.7094017;0;23.577236;Grade 3;52.03252;0;71.544716;100;2.5641026;95.726494;2;10;123;30;0;0
Kullu;Himachal Pradesh;5.9171596;204;47.534515;58.63747;0;51.084812;Grade 3;52.465485;2.676399;42.998028;91.913216;28.710463;9.975669;2;45;507;89;0;8.086785
Mandi;Himachal Pradesh;12.375533;205;49.502132;58.72534;0;43.95448;Grade 3;50.497868;9.104704;43.669987;90.04267;30.955994;1.0622154;2;55;703;138;0;9.957326
Hamirpur (H.P.);Himachal Pradesh;9.259259;206;48.919754;60.841423;0;44.290123;Grade 3;51.080246;15.695793;46.45062;88.888885;22.006472;1.4563106;2;43;648;101;0;11.111111
Una;Himachal Pradesh;10.169492;207;50.16949;43.761303;0;52.711864;Grade 3;49.83051;26.943943;37.118645;89.32204;24.77396;4.520796;2;37;590;105;0;10.677966
Bilaspur (H.P.);Himachal Pradesh;4.208754;208;44.612793;64.801445;0;52.525253;Grade 3;55.387207;5.776173;43.265995;81.14478;28.158844;1.0830325;2;50;594;115;0;18.855219
Solan;Himachal Pradesh;6.412214;209;50.53435;67.879745;0;56.030533;Grade 3;49.46565;5.379747;37.55725;67.63359;25.316456;1.4240507;2;35;655;94;0;32.366413
Sirmaur;Himachal Pradesh;6.1654134;210;47.969925;49.488056;0;53.984962;Grade 3;52.030075;18.259386;39.849625;77.293236;26.79181;5.460751;2;45;665;106;0;22.706766
Shimla;Himachal Pradesh;15.156018;211;48.737;73.301735;0;35.661217;Grade 3;51.263;0.9478673;49.182762;51.114414;23.064772;2.6856241;2;50;673;116;0;48.885586
Kinnaur;Himachal Pradesh;8.196721;212;46.994537;25.903614;0;41.256832;Grade 3;53.005463;0;50.546448;100;16.26506;57.831326;2;34;366;69;0;0
Gurdaspur;Punjab;6.2565174;301;49.11366;35.436382;18.978102;39.937435;Grade 3;50.88634;31.230284;34.827946;68.40459;32.912724;0.4206099;3;53;959;116;0;31.595411
Amritsar;Punjab;8.982036;302;53.293415;46.673386;22.55489;36.027943;Grade 3;46.706585;16.633064;32.43513;31.137724;36.491936;0.2016129;3;41;1002;72;0;68.862274
Kapurthala;Punjab;12.065439;303;47.95501;43.386242;19.734152;38.036808;Grade 3;52.04499;17.460318;30.163599;45.60327;38.62434;0.52910054;3;48;978;95;0;54.39673
Jalandhar;Punjab;22.47191;304;49.812733;49.153847;22.097378;29.063671;Grade 3;50.187267;8.769231;26.36704;35.955055;42;0.07692308;3;54;1335;129;0;64.044945
Hoshiarpur;Punjab;3.318584;305;48.783184;37.919464;21.238937;41.37168;Grade 3;51.216816;22.259508;34.070797;59.292034;39.82103;0;3;49;904;99;0;40.707966
Nawanshahr;Punjab;0;306;48.8529;41.32791;7.962213;48.8529;Grade 3;51.1471;19.783197;43.184887;59.649124;38.617886;0.13550135;3;39;741;80;0;40.350876
Rupnagar;Punjab;3.1380754;307;49.58159;39.130436;17.782427;40.899582;Grade 3;50.41841;28.52598;38.179916;65.48117;31.813362;0.5302227;3;46;956;89;0;34.51883
Fatehgarh Sahib;Punjab;6.802721;308;50.113895;48.37963;10.997732;41.26984;Grade 3;49.886105;15.972222;40.929707;62.2449;34.60648;0;3;42;882;85;0;37.7551
