State,UDISE State Code,Grade,Question Description,Average (%)
Andaman & Nicobar Islands,35,Grade 10,students like to go to school,97.88976
Andaman & Nicobar Islands,35,Grade 10,students use home language as medium of instruction in the class,60.308228
Andaman & Nicobar Islands,35,Grade 10,CWSN students get facilities from school,82.97233
Andaman & Nicobar Islands,35,Grade 10,"students could understand, what teachers teach in the class",97.245415
Andaman & Nicobar Islands,35,Grade 10,Students get parental support for their educational achievement,83.516846
Andaman & Nicobar Islands,35,Grade 10,Teachers have adequate instructional material and supplies,30.989584
Andaman & Nicobar Islands,35,Grade 10,Teachers have adequate work space,43.376625
Andaman & Nicobar Islands,35,Grade 10,Teachers say that they are overloaded with the work,21.614584
Andaman & Nicobar Islands,35,Grade 10,Teachers have responded that the school building needs major repair,27.202072
Andaman & Nicobar Islands,35,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,17.708334
Andaman & Nicobar Islands,35,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,17.616581
Andaman & Nicobar Islands,35,Grade 10,Teachers participated in professional development program,72.06266
Andaman & Nicobar Islands,35,Grade 10,Teachers have responded that the parents take interest in school activities,92.72727
Andaman & Nicobar Islands,35,Grade 10,of schools have adequate qualified teaching staff,82.92683
Andaman & Nicobar Islands,35,Grade 10,of schools have adequate supporting staff,62.80488
Andaman & Nicobar Islands,35,Grade 10,of schools have adequate audio visual resources,59.5092
Andaman & Nicobar Islands,35,Grade 10,of schools have adequate library resources,81.097565
Andaman & Nicobar Islands,35,Grade 10,of schools participate in sports activities,99.39024
Andaman & Nicobar Islands,35,Grade 10,Understand the protocols for COVID symptom reporting,99.22078
Andaman & Nicobar Islands,35,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,99.21875
Andaman & Nicobar Islands,35,Grade 10,Know about the school reopening guidelines,98.958336
Andaman & Nicobar Islands,35,Grade 10,I learnt many things:,66
Andaman & Nicobar Islands,35,Grade 10,Experiences During Pandemic,63
Andaman & Nicobar Islands,35,Grade 10,Obstacles to learning in pandemic,30
Andaman & Nicobar Islands,35,Grade 10,No Digital Device at Home,26
Andaman & Nicobar Islands,35,Grade 10,Follow the Covid-19 hygiene protocols,89
Andaman & Nicobar Islands,35,Grade 10,"Experienced worry, anxiety and fear during pandemic",46
Andaman & Nicobar Islands,35,Grade 10,Happy being by myself at home,50
Andaman & Nicobar Islands,35,Grade 3,students like to go to school,98.63823569
Andaman & Nicobar Islands,35,Grade 3,students use home language as medium of instruction in the class,74.57314576
