State;Grade;Subject;National Average;Question;State Average;Subject Code
Jammu & Kashmir;Grade 3;Language;63.63026186;Reads small texts with comprehension i.e., identifies main ideas, details,sequence and draws conclusions;67.18234385;L304
Jammu & Kashmir;Grade 3;Language;58.37958018;Reads printed scripts on the classroom walls: poems, posters, charts etc.;64.15356559;L312
Jammu & Kashmir;Grade 3;Mathematics;44.86014936;Reads and writes numbers up to 999 using place value;45.53261672;M301
Jammu & Kashmir;Grade 3;Mathematics;69.59105659;Compares numbers up to 999 based on their place values;73.40077984;M302
Jammu & Kashmir;Grade 3;Mathematics;53.09433594;Solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping;55.59349914;M303
Jammu & Kashmir;Grade 3;Mathematics;61.36625068;Constructs and uses the multiplication facts (up till 10) in daily life situations;64.80707717;M304
Jammu & Kashmir;Grade 3;Mathematics;52.62719893;Analyses and applies an appropriate number operation in the situation/ context;55.11475921;M305
Jammu & Kashmir;Grade 3;Mathematics;47.12859715;Explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction;45.83139847;M306
Jammu & Kashmir;Grade 3;Mathematics;43.42736751;Identifies and makes 2D-shapes by paper folding. paper cutting on the dot grid, using straight lines etc.;40.34472051;M309
Jammu & Kashmir;Grade 3;Mathematics;55.87288305;Fills a given region leaving no gaps using a tile of a given shape;58.01109502;M311
Jammu & Kashmir;Grade 3;Mathematics;50.42683159;Estimates and measures length and distance using standard units like centimeters or meters & identifies relationships;50.33780357;M312
Jammu & Kashmir;Grade 3;Mathematics;71.18972678;Reads the time correctly to the hour using a clock/watch;74.24414464;M317
Jammu & Kashmir;Grade 3;Mathematics;56.32346284;Extends patterns in simple shapes and numbers;59.9824925;M318
Jammu & Kashmir;Grade 3;Mathematics;52.83858721;Records data using tally marks, represents pictorially and draws;53.00648226;M319
Jammu & Kashmir;Grade 3;EVS;61.58180576;Identifies simple features (e.g. movement, at places found/ kept, eating habits, sounds) of animals and birds in the immediate surroundings.;66.57708966;EVS302
Jammu & Kashmir;Grade 3;EVS;51.2573532;Identifies relationships with and among family members;50.0818146;EVS303
Jammu & Kashmir;Grade 3;EVS;65.20640349;Identifies objects, signs (vessels, stoves, transport, means of communication, transport, signboards etc.), places (types of houses/shelters, bus stand, petrol pump etc.) activities (works people do, cooking processes, etc.) at home/school/ neighborhoods;67.57979816;EVS304
Jammu & Kashmir;Grade 3;EVS;52.05501548;Describes need of food for people of different age groups, animals/birds, availability of food and water and use of water at home and surroundings.;57.60891465;EVS305
Jammu & Kashmir;Grade 3;EVS;63.03021748;Groups objects, birds, animals, features, activities according to differences/ similarities using different senses. (e.g. appearance/place of living/ food/ movement/ likes-dislikes/ any other features);64.4420905;EVS307
Jammu & Kashmir;Grade 3;EVS;65.92871657;Identifies directions, location of objects/places in simple maps using signs/symbols/ verbally;70.9744706;EVS309
Jammu & Kashmir;Grade 3;EVS;67.30950727;Guesses properties, estimates quantities of materials/activities in daily life and verifies using symbols/non-standard units;72.91020798;EVS310
Jammu & Kashmir;Grade 3;EVS;53.9116383;Records observations, experiences, information on objects/activities/places visited in different ways and predicts patterns etc;50.90929477;EVS311
Jammu & Kashmir;Grade 3;EVS;42.74752998;Observes rules in games (local, indoor, outdoor);45.70571621;EVS313
Jammu & Kashmir;Grade 3;EVS;62.992927;Voices opinion on good/bad touch , stereotypes for tasks/play/food in family w.r.t gender, misuse/wastage of food and water in family and school.;64.55363825;EVS314
Jammu & Kashmir;Grade 5;Language;55.19833154;Reads text with comprehension, locates details and sequence of events;61.39702319;L508
Jammu & Kashmir;Grade 5;Mathematics;44.80937633;Applies operations of numbers in daily life situations;53.53976969;M401
Jammu & Kashmir;Grade 5;Mathematics;35.91642014;Explores the area and perimeter of simple geometrical shapes (triangle, rectangle, square) in terms of given shape as a unit;37.11644455;M412
Jammu & Kashmir;Grade 5;Mathematics;47.38427343;Calculates time intervals/duration of familiar daily life events by using forward or backward counting/addition and subtraction;50.71248521;M418
Jammu & Kashmir;Grade 5;Mathematics;41.97566973;Represent the collected information in tables and bar graphs and draws inferences from these;48.16509207;M421
Jammu & Kashmir;Grade 5;Mathematics;55.23289532;Reads and writes numbers bigger than 1000 being used in her/his surroundings;62.47993802;M501
Jammu & Kashmir;Grade 5;Mathematics;45.75788074;Estimates sum, difference, product and quotient of numbers and verifies the same using different strategies like using standard algorithms or breaking a number and then using operation;53.05319383;M504
Jammu & Kashmir;Grade 5;Mathematics;54.99199454;Finds the number corresponding to part of a collection;59.95482385;M505
Jammu & Kashmir;Grade 5;Mathematics;38.21900005;Identifies and forms equivalent fractions of a given fraction;38.42486724;M506
Jammu & Kashmir;Grade 5;Mathematics;42.81734551;Converts fractions into decimals and vice versa;45.32105387;M508
Jammu & Kashmir;Grade 5;Mathematics;47.78604298;Classifies angles into right angle, acute angle, obtuse angle and represents the same by drawing and tracing;53.37117507;M509
Jammu & Kashmir;Grade 5;Mathematics;37.85880312;Relates different commonly used larger and smaller units of length, weight and volume and converts larger units to smaller units and vice versa;41.18492892;M512
Jammu & Kashmir;Grade 5;Mathematics;40.81815671;Estimates the volume of a solid body in known units.;43.22488866;M513
Jammu & Kashmir;Grade 5;Mathematics;43.34404251;Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals;46.28576627;M514
Jammu & Kashmir;Grade 5;Mathematics;45.86787489;Identifies the pattern in triangular numbers and square number;50.04505108;M515
Jammu & Kashmir;Grade 5;Mathematics;46.13490504;Collects data related to various daily life situations. represents it in tabular form and as bar graphs and interprets it;52.72890505;M516
Jammu & Kashmir;Grade 5;EVS;50.14524069;Identifies relationship with and among family members in extended family;56.52498129;EVS403
Jammu & Kashmir;Grade 5;EVS;49.89861061;Records observations/experiences/information for objects, activities, phenomena, places visited in different ways and predicts patterns and activities/ phenomena;58.50559286;EVS410
Jammu & Kashmir;Grade 5;EVS;44.74807312;Explains the super senses and unusual features (sight, smell, hear, sleep, sound, etc.) of animals and their responses to light, sound, food etc.;53.24329415;EVS501
Jammu & Kashmir;Grade 5;EVS;50.13567716;Describes the interdependence among animals, plants and humans;58.36819904;EVS503
Jammu & Kashmir;Grade 5;EVS;47.79471283;Explains the role and functions of different institutions in daily life (Bank, Panchayat, cooperatives. police station, etc.);56.72651317;EVS504
Jammu & Kashmir;Grade 5;EVS;48.43736914;Establishes linkages among terrain, climate, resources (food, water, shelter, livelihood) and cultural life. (e.g. life in distant/difficult areas like hot/cold deserts);58.4850743;EVS505
