District;State;Central Government Schools;District ID;Female Gender;General Social Group;Government Aided Schools;Government Schools;Grade;Male Gender;OBC Social Group;Private School;Rural Location;SC Social Group;ST Social Group;State ID;Total Schools;Total Students;Total Teachers;Transgender;Urban Location
Jammu & Kashmir;Jammu & Kashmir;6.948959688;;49.02953586;63.42266533;0.13816645;45.83062419;3;50.97046414;9.914936431;47.08224967;77.62516255;8.506356901;16.57367603;1;921;12304;2629;0;22.37483745
Jammu & Kashmir;Jammu & Kashmir;7.068725995;;49.07179791;65.36194511;0.130751001;43.39298848;5;50.91972535;8.740099466;49.40753453;75.66396993;8.436176091;15.91453306;1;943;12237;2586;0.008476731;24.33603007
Jammu & Kashmir;Jammu & Kashmir;4.549283909;;50.72486482;66.89580918;0.061269817;51.91085242;8;49.27513518;9.375517641;43.47859386;76.97786628;9.209872453;13.36756667;1;1434;25605;5605;0;23.02213372
Jammu & Kashmir;Jammu & Kashmir;4.1030045;;51.094574;73.316666;0.051502146;51.28755;10;48.905426;8.372696;44.55794;71.476395;8.335649;9.197;1;1119;29110;5440;0;28.523605
Himachal Pradesh;Himachal Pradesh;11.16664287;;47.94206224;54.5143213;0;46.76567185;3;52.05793776;11.50373599;42.06768528;83.10723975;23.61457036;10.3362391;2;512;7003;1214;0;16.89276025
Himachal Pradesh;Himachal Pradesh;11.27389424;;48.48527349;55.95015576;0;46.26761546;5;51.51472651;11.1682243;42.4584903;76.96386215;23.19314642;9.361370717;2;500;7167;1177;0;23.03613785
Himachal Pradesh;Himachal Pradesh;8.749136144;;49.08009407;54.61968199;0;48.97028334;8;50.91990593;12.80618823;42.28058051;78.29993089;22.74745738;9.669101848;2;741;14233;2813;0;21.70006911
Himachal Pradesh;Himachal Pradesh;7.586207;;48.71079;55.494507;0;46.535305;10;51.28921;12.770563;45.87849;77.83251;20.57942;10.822511;2;700;15170;3372;0;22.167488
Punjab;Punjab;9.429889118;;48.83937773;43.03072556;17.6184869;39.08841134;3;51.16062227;17.71326129;33.86321264;51.08429006;39.01698123;0.179273941;3;919;20382;1882;0;48.91570994
Punjab;Punjab;8.992061583;;49.0543337;41.9697191;18.00336781;39.57661775;5;50.9456663;17.92999367;33.42795285;51.46980996;39.80332019;0.277493793;3;912;20785;1967;0;48.53019004
Punjab;Punjab;6.931602825;;49.60064357;43.13123116;19.8529834;37.66151726;8;50.39935643;18.94273128;35.55389651;55.44707977;37.65360538;0.168096453;3;1409;34589;5374;0;44.55292023
Punjab;Punjab;5.8040247;;50.370724;42.24631;18.391354;39.451843;10;49.629276;19.506172;36.35278;57.586433;37.910267;0.28906956;3;1581;41844;7749;0;42.413567
Chandigarh;Chandigarh;18.14516129;;46.37096774;86.46153846;15.8266129;33.26612903;3;53.62903226;3.897435897;32.76209677;6.048387097;6.564102564;0.102564103;4;34;992;85;0;93.9516129
Chandigarh;Chandigarh;17.96407186;;53.39321357;81.15631692;16.16766467;32.93413174;5;46.60678643;4.389721627;32.93413174;14.97005988;8.244111349;0.96359743;4;34;1002;94;0;85.02994012
Chandigarh;Chandigarh;11.96283391;;48.66434379;83.31288344;11.61440186;38.32752613;8;51.33565621;4.785276074;38.0952381;7.200929152;8.711656442;0.122699387;4;58;1713;227;0;92.79907085
