Year,State,Major Component,Proposed by State - Total,Proposed by State - % of Total,Recommended by DoSEL - Total,Recommended by DoSEL - % of Total
2018-19,Andaman and Nicobar Islands,Monitoring of the Scheme,11.65,0.17,1.43,0.04
2018-19,Andaman and Nicobar Islands,Inclusive Education,62.59,0.93,59.13,1.64
2018-19,Andaman and Nicobar Islands,Gender & Equity,149.14,2.22,85.06,2.36
2018-19,Andaman and Nicobar Islands,Financial Support for Teachers,970.2,14.41,970.2,26.87
2018-19,Andaman and Nicobar Islands,Teacher Education,117.1,1.74,81.98,2.27
2018-19,Andaman and Nicobar Islands,Sports & Physical Education,37.05,0.55,37.05,1.03
2018-19,Andaman and Nicobar Islands,RTE Entitlements,14.76,0.22,14.76,0.41
2018-19,Andaman and Nicobar Islands,Quality Interventions,3351.94,49.79,1727.45,47.84
2018-19,Andaman and Nicobar Islands,Access & Retention,272.14,4.04,64.84,1.8
2018-19,Andaman and Nicobar Islands,Total of all Major Components,6732.38,100.0,3610.63,100.0
2018-19,Andaman and Nicobar Islands,Program Management,0.0,0.0,173.8,4.81
2018-19,Andaman and Nicobar Islands,Vocational Education,1745.8,25.93,394.92,10.94
2018-19,Andhra Pradesh,Program Management,14470.91,5.79,9177.0,4.76
2018-19,Andhra Pradesh,Monitoring of the Scheme,0.0,0.0,76.91,0.04
2018-19,Andhra Pradesh,Vocational Education,7530.1,3.01,3412.18,1.77
2018-19,Andhra Pradesh,Inclusive Education,5227.0,2.09,3319.72,1.72
2018-19,Andhra Pradesh,Gender & Equity,50060.83,20.02,34387.64,17.84
2018-19,Andhra Pradesh,Financial Support for Teachers,46365.96,18.54,41469.96,21.52
2018-19,Andhra Pradesh,Teacher Education,3099.98,1.24,1980.09,1.03
2018-19,Andhra Pradesh,Sports & Physical Education,1674.25,0.67,79.7,0.04
2018-19,Andhra Pradesh,RTE Entitlements,37714.7,15.08,36141.02,18.75
2018-19,Andhra Pradesh,Total of all Major Components,250054.71,100.0,192717.0,100.0
2018-19,Andhra Pradesh,Quality Interventions,81221.46,32.48,60181.63,31.23
2018-19,Andhra Pradesh,Access & Retention,2689.52,1.08,2491.16,1.29
2018-19,Arunachal Pradesh,Program Management,3216.73,5.59,2692.93,6.56
2018-19,Arunachal Pradesh,Financial Support for Teachers,25558.21,44.41,15319.8,37.33
2018-19,Arunachal Pradesh,Teacher Education,2647.09,4.6,1838.62,4.48
2018-19,Arunachal Pradesh,Sports & Physical Education,273.6,0.48,273.6,0.67
2018-19,Arunachal Pradesh,Quality Interventions,9646.13,16.76,6847.21,16.68
2018-19,Arunachal Pradesh,RTE Entitlements,2016.75,3.5,1879.95,4.58
2018-19,Arunachal Pradesh,Access & Retention,8134.52,14.14,6616.93,16.12
2018-19,Arunachal Pradesh,Vocational Education,1498.2,2.6,1242.69,3.03
2018-19,Arunachal Pradesh,Gender & Equity,4373.34,7.6,4212.45,10.26
2018-19,Arunachal Pradesh,Inclusive Education,176.87,0.31,109.09,0.27
2018-19,Arunachal Pradesh,Total of all Major Components,57548.53,100.0,41040.36,100.0
2018-19,Arunachal Pradesh,Monitoring of the Scheme,7.09,0.01,7.09,0.02
2018-19,Assam,Inclusive Education,2492.38,1.07,2413.33,1.34
2018-19,Assam,Total of all Major Components,233089.61,100.0,180481.61,100.0
2018-19,Assam,Gender & Equity,9187.17,3.94,7557.98,4.19
2018-19,Assam,Financial Support for Teachers,111526.44,47.85,72287.14,40.05
2018-19,Assam,Teacher Education,6461.03,2.77,4802.39,2.66
2018-19,Assam,Sports & Physical Education,2808.3,1.2,1306.71,0.72
2018-19,Assam,Vocational Education,4138.5,1.78,2428.32,1.35
2018-19,Assam,Program Management,0.0,0.0,8594.35,4.76
2018-19,Assam,Monitoring of the Scheme,7313.62,3.14,134.9,0.07
2018-19,Assam,Quality Interventions,38638.47,16.58,37128.05,20.57
2018-19,Assam,RTE Entitlements,42149.91,18.08,41222.81,22.84
2018-19,Assam,Access & Retention,8373.8,3.59,2605.65,1.44
2018-19,Bihar,Monitoring of the Scheme,521.38,0.04,521.38,0.07
2018-19,Bihar,Vocational Education,790.4,0.06,108.3,0.02
2018-19,Bihar,Inclusive Education,7764.54,0.56,7087.7,0.99
2018-19,Bihar,Gender & Equity,38271.13,2.77,34853.21,4.85
2018-19,Bihar,Financial Support for Teachers,988701.0,71.57,371779.8,51.69
2018-19,Bihar,Teacher Education,3604.85,0.26,2296.42,0.32
2018-19,Bihar,Sports & Physical Education,6131.1,0.44,3972.9,0.55
2018-19,Bihar,Quality Interventions,113111.69,8.19,77597.64,10.79
2018-19,Bihar,RTE Entitlements,187286.28,13.56,184772.07,25.69
2018-19,Bihar,Total of all Major Components,1381422.37,100.0,719280.47,100.0
2018-19,Bihar,Program Management,35000.0,2.53,34251.45,4.76
2018-19,Bihar,Access & Retention,240.0,0.02,2039.6,0.28
2018-19,Chandigarh,Teacher Education,49.0,0.47,40.0,0.41
2018-19,Chandigarh,Financial Support for Teachers,6100.88,58.23,6100.88,62.02
2018-19,Chandigarh,Gender & Equity,47.61,0.45,47.61,0.48
2018-19,Chandigarh,Inclusive Education,382.21,3.65,262.46,2.67
2018-19,Chandigarh,Vocational Education,81.84,0.78,81.84,0.83
2018-19,Chandigarh,Monitoring of the Scheme,4.94,0.05,4.94,0.05
2018-19,Chandigarh,Program Management,328.98,3.14,468.4,4.76
2018-19,Chandigarh,Total of all Major Components,10476.45,100.0,9836.5,100.0
2018-19,Chandigarh,Sports & Physical Education,39.4,0.38,39.4,0.4
2018-19,Chandigarh,RTE Entitlements,978.81,9.34,870.11,8.85
2018-19,Chandigarh,Quality Interventions,2462.79,23.51,1920.86,19.53
2018-19,Chhattisgarh,Access & Retention,54536.85,20.14,30154.69,14.1
2018-19,Chhattisgarh,RTE Entitlements,53821.46,19.87,37569.01,17.57
2018-19,Chhattisgarh,Quality Interventions,48555.9,17.93,41912.54,19.6
2018-19,Chhattisgarh,Sports & Physical Education,2272.67,0.84,2272.67,1.06
2018-19,Chhattisgarh,Financial Support for Teachers,72193.2,26.66,72079.2,33.71
2018-19,Chhattisgarh,Teacher Education,4739.11,1.75,3347.24,1.57
2018-19,Chhattisgarh,Inclusive Education,1866.13,0.69,1662.23,0.78
2018-19,Chhattisgarh,Vocational Education,12449.81,4.6,7220.4,3.38
2018-19,Chhattisgarh,Monitoring of the Scheme,116.93,0.04,116.93,0.05
2018-19,Chhattisgarh,Program Management,9696.29,3.58,10180.49,4.76
2018-19,Chhattisgarh,Total of all Major Components,270839.77,100.0,213790.27,100.0
2018-19,Chhattisgarh,Gender & Equity,10591.42,3.91,7274.88,3.4
2018-19,Delhi,Monitoring of the Scheme,87.86,0.1,83.0,0.21
2018-19,Delhi,Total of all Major Components,91362.98,100.0,39371.35,100.0
2018-19,Delhi,Program Management,15202.17,16.64,1874.85,4.76
2018-19,Delhi,Vocational Education,555.78,0.61,362.24,0.92
2018-19,Delhi,Inclusive Education,9674.57,10.59,3942.29,10.01
2018-19,Delhi,Financial Support for Teachers,23296.23,25.5,8517.0,21.63
2018-19,Delhi,Teacher Education,6874.69,7.52,2311.74,5.87
2018-19,Delhi,Sports & Physical Education,346.15,0.38,344.7,0.88
2018-19,Delhi,Quality Interventions,23050.42,25.23,11484.7,29.17
2018-19,Delhi,RTE Entitlements,7109.92,7.78,7068.89,17.95
2018-19,Delhi,Access & Retention,4734.42,5.18,3107.73,7.89
2018-19,Delhi,Gender & Equity,430.76,0.47,274.21,0.7
2018-19,Goa,Sports & Physical Education,39.8,0.75,39.8,0.97
2018-19,Goa,RTE Entitlements,609.7,11.43,578.02,14.04
2018-19,Goa,Access & Retention,111.86,2.1,104.75,2.54
2018-19,Goa,Teacher Education,416.41,7.81,328.8,7.99
2018-19,Goa,Financial Support for Teachers,379.95,7.12,379.95,9.23
2018-19,Goa,Monitoring of the Scheme,5.69,0.11,5.69,0.14
2018-19,Goa,Inclusive Education,106.62,2.0,106.8,2.59
2018-19,Goa,Vocational Education,1543.8,28.94,874.05,21.23
2018-19,Goa,Program Management,295.49,5.54,196.06,4.76
2018-19,Goa,Total of all Major Components,5333.64,100.0,4117.18,100.0
2018-19,Goa,Gender & Equity,54.09,1.01,54.09,1.31
2018-19,Goa,Quality Interventions,1770.23,33.19,1449.17,35.2
2018-19,Gujarat,Access & Retention,53086.95,24.6,27542.48,16.21
2018-19,Gujarat,Total of all Major Components,215791.39,100.0,169958.7,100.0
2018-19,Gujarat,Monitoring of the Scheme,229.98,0.11,233.33,0.14
2018-19,Gujarat,Vocational Education,236.8,0.11,206.2,0.12
2018-19,Gujarat,Inclusive Education,6692.53,3.1,6491.42,3.82
2018-19,Gujarat,Gender & Equity,9006.72,4.17,7304.22,4.3
2018-19,Gujarat,Financial Support for Teachers,33374.25,15.47,32414.25,19.07
2018-19,Gujarat,Teacher Education,11592.89,5.37,7325.29,4.31
2018-19,Gujarat,Sports & Physical Education,3967.5,1.84,2826.15,1.66
2018-19,Gujarat,Quality Interventions,67333.73,31.2,61132.89,35.97
2018-19,Gujarat,RTE Entitlements,20209.75,9.37,16389.2,9.64
2018-19,Gujarat,Program Management,10060.29,4.66,8093.27,4.76
2018-19,Haryana,Monitoring of the Scheme,110.0,0.07,110.1,0.09
2018-19,Haryana,Sports & Physical Education,1492.75,1.0,1492.75,1.24
2018-19,Haryana,Teacher Education,6173.86,4.12,4688.69,3.88
2018-19,Haryana,Financial Support for Teachers,37408.68,24.98,30751.68,25.45
2018-19,Haryana,Gender & Equity,8976.37,5.99,7214.55,5.97
2018-19,Haryana,Inclusive Education,2288.92,1.53,1813.84,1.5
2018-19,Haryana,Vocational Education,25739.99,17.19,18753.9,15.52
2018-19,Haryana,Program Management,6000.6,4.01,5673.25,4.69
2018-19,Haryana,Total of all Major Components,149750.86,100.0,120836.48,100.0
2018-19,Haryana,Quality Interventions,45289.5,30.24,35133.71,29.08
2018-19,Haryana,RTE Entitlements,13242.47,8.84,13026.89,10.78
2018-19,Haryana,Access & Retention,3027.71,2.02,2177.12,1.8
2018-19,Himachal Pradesh,Access & Retention,6333.55,7.02,2386.64,3.7
2018-19,Himachal Pradesh,Quality Interventions,32705.79,36.26,25167.4,39.04
2018-19,Himachal Pradesh,Sports & Physical Education,1419.7,1.57,1419.45,2.2
2018-19,Himachal Pradesh,Teacher Education,4085.1,4.53,2740.12,4.25
2018-19,Himachal Pradesh,Financial Support for Teachers,12758.4,14.14,11620.8,18.03
2018-19,Himachal Pradesh,Total of all Major Components,90206.23,100.0,64470.39,100.0
2018-19,Himachal Pradesh,Inclusive Education,415.49,0.46,349.34,0.54
2018-19,Himachal Pradesh,Gender & Equity,1118.71,1.24,1045.02,1.62
2018-19,Himachal Pradesh,Program Management,4349.21,4.82,3068.0,4.76
2018-19,Himachal Pradesh,RTE Entitlements,4670.97,5.18,4439.91,6.89
2018-19,Himachal Pradesh,Vocational Education,22307.6,24.73,12205.91,18.93
2018-19,Himachal Pradesh,Monitoring of the Scheme,41.7,0.05,27.82,0.04
2018-19,Jammu and Kashmir,Total of all Major Components,422322.71,100.0,199247.66,100.0
2018-19,Jammu and Kashmir,Program Management,6571.1,1.56,9487.98,4.76
2018-19,Jammu and Kashmir,Access & Retention,57097.93,13.52,20317.1,10.2
2018-19,Jammu and Kashmir,RTE Entitlements,11578.83,2.74,11221.53,5.63
2018-19,Jammu and Kashmir,Sports & Physical Education,2112.35,0.5,2069.2,1.04
2018-19,Jammu and Kashmir,Teacher Education,5005.11,1.19,3361.04,1.69
2018-19,Jammu and Kashmir,Financial Support for Teachers,262972.27,62.27,97722.96,49.05
2018-19,Jammu and Kashmir,Gender & Equity,16938.1,4.01,13829.09,6.94
2018-19,Jammu and Kashmir,Inclusive Education,1268.19,0.3,1107.63,0.56
2018-19,Jammu and Kashmir,Vocational Education,11121.67,2.63,5228.43,2.62
2018-19,Jammu and Kashmir,Monitoring of the Scheme,46.29,0.01,46.29,0.02
2018-19,Jammu and Kashmir,Quality Interventions,47610.87,11.27,34856.42,17.49
2018-19,Jharkhand,Sports & Physical Education,627.0,0.32,627.0,0.42
2018-19,Jharkhand,RTE Entitlements,30479.43,15.75,28858.28,19.3
2018-19,Jharkhand,Teacher Education,2686.47,1.39,1736.47,1.16
2018-19,Jharkhand,Financial Support for Teachers,73314.3,37.89,50345.09,33.67
2018-19,Jharkhand,Gender & Equity,20607.28,10.65,15728.51,10.52
2018-19,Jharkhand,Inclusive Education,468.0,0.24,441.6,0.3
2018-19,Jharkhand,Vocational Education,5050.85,2.61,2792.55,1.87
2018-19,Jharkhand,Monitoring of the Scheme,8262.04,4.27,154.7,0.1
2018-19,Jharkhand,Program Management,730.0,0.38,7119.47,4.76
2018-19,Jharkhand,Total of all Major Components,193514.68,100.0,149508.94,100.0
2018-19,Jharkhand,Quality Interventions,37538.89,19.4,33456.13,22.38
2018-19,Jharkhand,Access & Retention,13750.42,7.11,8249.13,5.52
2018-19,Karnataka,Total of all Major Components,246587.45,100.0,167991.13,100.0
2018-19,Karnataka,RTE Entitlements,48267.96,19.57,43794.46,26.07
2018-19,Karnataka,Quality Interventions,70856.44,28.73,59419.18,35.37
2018-19,Karnataka,Sports & Physical Education,1792.08,0.73,1792.08,1.07
2018-19,Karnataka,Teacher Education,8489.48,3.44,5083.17,3.03
2018-19,Karnataka,Financial Support for Teachers,56342.4,22.85,32801.4,19.53
2018-19,Karnataka,Gender & Equity,6016.3,2.44,5971.57,3.55
2018-19,Karnataka,Monitoring of the Scheme,1086.08,0.44,708.07,0.42
2018-19,Karnataka,Inclusive Education,4272.11,1.73,3700.51,2.2
2018-19,Karnataka,Access & Retention,33785.09,13.7,5010.38,2.98
2018-19,Karnataka,Vocational Education,4353.0,1.77,1710.73,1.02
2018-19,Karnataka,Program Management,11326.5,4.59,7999.58,4.76
2018-19,Kerala,Access & Retention,11591.17,8.2,2639.97,3.57
2018-19,Kerala,RTE Entitlements,12256.83,8.67,11977.41,16.19
2018-19,Kerala,Program Management,2305.85,1.63,3523.48,4.76
2018-19,Kerala,Monitoring of the Scheme,5200.0,3.68,116.37,0.16
2018-19,Kerala,Inclusive Education,15950.34,11.29,10182.05,13.76
2018-19,Kerala,Total of all Major Components,141338.89,100.0,73993.06,100.0
2018-19,Kerala,Financial Support for Teachers,12022.2,8.51,7317.0,9.89
2018-19,Kerala,Teacher Education,11089.13,7.85,3214.4,4.34
2018-19,Kerala,Quality Interventions,69639.98,49.27,34542.89,46.68
