Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total
2018-19,India,4.6,4.3,4.5,4.3,5.1,4.7,18.7,17.1,17.9
2018-19,Andaman and Nicobar Islands,0.8,1.2,1,0,0.4,0,26.2,18,22.2
2018-19,Andhra Pradesh,0,0,0,1.3,0.9,1.1,17.5,15.2,16.4
2018-19,Arunachal Pradesh,14.5,13.1,13.8,6.3,7,6.7,36.9,35,36
2018-19,Assam,3.5,2.6,3.1,3.1,0.7,1.9,30.8,32.1,31.5
2018-19,Bihar,8.7,6.8,7.8,12.7,12.1,12.4,27.4,29.5,28.5
2018-19,Chandigarh,0,0,0,0,1.3,0.4,4.7,4.3,4.5
2018-19,Chhattisgarh,3.3,3.5,3.4,7.8,6.3,7,24.2,15.6,19.8
2018-19,Dadra and Nagar Haveli,0,0,0,2.2,2.4,2.3,23.1,17.5,20.5
2018-19,Daman and Diu,0,0.3,0,0.9,0,0.1,23.9,19.3,21.7
2018-19,Delhi,0,0,0,1.3,0.8,1.1,16.1,13.7,14.9
2018-19,Goa,1.6,1.4,1.5,0.7,1.2,0.9,12.3,6.2,9.4
2018-19,Gujarat,2.6,1.9,2.3,5.9,9.1,7.4,25.8,21.2,23.8
2018-19,Haryana,0,0,0,1.7,2.3,1.9,15.7,13.7,14.8
2018-19,Himachal Pradesh,0.2,0.5,0.3,0.2,0.3,0.3,8.9,6.7,7.8
2018-19,Jammu and Kashmir,6.5,6.9,6.7,5.7,7,6.3,17.9,17.7,17.8
2018-19,Jharkhand,6.2,4.6,5.4,10.7,9.7,10.2,22.1,22.4,22.3
2018-19,Karnataka,0,0,0,0,0.5,0.2,26.4,20.2,23.4
2018-19,Kerala,0.3,0,0.2,0.1,0,0,11.3,6.8,9.1
2018-19,Ladakh,-,-,-,-,-,-,-,-,-
2018-19,Lakshadweep,0,0,0,0,0,0,3.6,5.5,4.6
2018-19,Madhya Pradesh,3.5,3,3.3,5.2,6.8,5.9,25.6,24,24.9
2018-19,Maharashtra,1.1,1.1,1.1,1.8,2.6,2.2,13.7,12.8,13.3
2018-19,Manipur,7,5.1,6.1,4,2.8,3.4,12.9,13.2,13
2018-19,Meghalaya,18.4,15.3,16.9,10.9,8.2,9.5,20.9,18.3,19.5
2018-19,Mizoram,8,7.1,7.5,3.8,2.3,3.1,11.2,10.1,10.6
2018-19,Nagaland,11.6,11.2,11.4,6.4,2.8,4.6,25.7,22.5,24.1
2018-19,Odisha,2.9,3.9,3.4,4.9,5,5,11.8,7.2,9.5
2018-19,Puducherry,2.1,0,0.6,0.1,0,0.1,17.3,7.9,12.7
2018-19,Punjab,1.4,1.3,1.4,2.9,2.9,2.9,13,9.6,11.5
2018-19,Rajasthan,5.5,4.8,5.2,3.3,4.4,3.8,12.6,12.8,12.7
2018-19,Sikkim,6.1,4.6,5.4,1.7,0.6,1.1,26.3,21.3,23.7
2018-19,Tamil Nadu,0.8,1.6,1.2,0.2,0.9,0.6,17.7,8.1,13
2018-19,Telangana,1.8,2.1,1.9,3,2.7,2.9,15.3,11.6,13.5
2018-19,Tripura,3.6,2.5,3.1,5,3.6,4.3,29.4,29.7,29.6
