Year,State,All ages - Pre-Primary to Higher Secondary - Boys,All ages - Pre-Primary to Higher Secondary - Girls,All ages - Pre-Primary to Higher Secondary - Total,All ages - Pre-Primary - Boys,All ages - Pre-Primary - Girls,All ages - Pre-Primary - Total,All ages - Primary (1-5) - Boys,All ages - Primary (1-5) - Girls,All ages - Primary (1-5) - Total,All ages - Upper Primary (6-8) - Boys,All ages - Upper Primary (6-8) - Girls,All ages - Upper Primary (6-8) - Total,All ages - Secondary (9-10) - Boys,All ages - Secondary (9-10) - Girls,All ages - Secondary (9-10) - Total,All ages - Higher Secondary (11-12) - Boys,All ages - Higher Secondary (11-12) - Girls,All ages - Higher Secondary (11-12) - Total,< 6 years - All - Boys,< 6 years - All - Girls,< 6 years - All - Total,< 6 years - Pre-Primary - Boys,< 6 years - Pre-Primary - Girls,< 6 years - Pre-Primary - Total,< 6 years - Primary (1-5) - Boys,< 6 years - Primary (1-5) - Girls,< 6 years - Primary (1-5) - Total,6-10 years - All - Boys,6-10 years - All - Girls,6-10 years - All - Total,6-10 years - Primary (1-5) - Boys,6-10 years - Primary (1-5) - Girls,6-10 years - Primary (1-5) - Total,6-10 years - Upper Primary (6-8) - Boys,6-10 years - Upper Primary (6-8) - Girls,6-10 years - Upper Primary (6-8) - Total,11-13 years - All - Boys,11-13 years - All - Girls,11-13 years - All - Total,11-13 years - Primary (1-5) - Boys,11-13 years - Primary (1-5) - Girls,11-13 years - Primary (1-5) - Total,11-13 years - Upper Primary (6-8) - Boys,11-13 years - Upper Primary (6-8) - Girls,11-13 years - Upper Primary (6-8) - Total,11-13 years - Secondary (9-10) - Boys,11-13 years - Secondary (9-10) - Girls,11-13 years - Secondary (9-10) - Total,14-15 years - All - Boys,14-15 years - All - Girls,14-15 years - All - Total,14-15 years - Primary (1-5) - Boys,14-15 years - Primary (1-5) - Girls,14-15 years - Primary (1-5) - Total,14-15 years - Upper Primary (6-8) - Boys,14-15 years - Upper Primary (6-8) - Girls,14-15 years - Upper Primary (6-8) - Total,14-15 years - Secondary (9-10) - Boys,14-15 years - Secondary (9-10) - Girls,14-15 years - Secondary (9-10) - Total,14-15 years - Higher Secondary (11-12) - Boys,14-15 years - Higher Secondary (11-12) - Girls,14-15 years - Higher Secondary (11-12) - Total,16-17 years - All - Boys,16-17 years - All - Girls,16-17 years - All - Total,16-17 years - Primary (1-5) - Boys,16-17 years - Primary (1-5) - Girls,16-17 years - Primary (1-5) - Total,16-17 years - Upper Primary (6-8) - Boys,16-17 years - Upper Primary (6-8) - Girls,16-17 years - Upper Primary (6-8) - Total,16-17 years - Secondary (9-10) - Boys,16-17 years - Secondary (9-10) - Girls,16-17 years - Secondary (9-10) - Total,16-17 years - Higher Secondary (11-12) - Boys,16-17 years - Higher Secondary (11-12) - Girls,16-17 years - Higher Secondary (11-12) - Total,>17 years - All - Boys,>17 years - All - Girls,>17 years - All - Total,>17 years - Primary (1-5) - Boys,>17 years - Primary (1-5) - Girls,>17 years - Primary (1-5) - Total,>17 years - Upper Primary (6-8) - Boys,>17 years - Upper Primary (6-8) - Girls,>17 years - Upper Primary (6-8) - Total,>17 years - Secondary (9-10) - Boys,>17 years - Secondary (9-10) - Girls,>17 years - Secondary (9-10) - Total,>17 years - Higher Secondary (11-12) - Boys,>17 years - Higher Secondary (11-12) - Girls,>17 years - Higher Secondary (11-12) - Total,6-10 years - Pre-Primary - Boys,6-10 years - Pre-Primary - Girls,6-10 years - Pre-Primary - Total
2018-19,India,135350365,124943851,260294216,6492773,5462859,11955632,62509126,57721044,120230170,33159087,31107939,64267026,20006747,18327824,38334571,13182632,12324185,25506817,9992910,8710102,18703012,6492773,5462859,11955632,3500137,3247243,6747380,58042653,53886860,111929513,54928717,50928496,105857213,3113936,2958364,6072300,33519863,31342208,64862071,3938441,3432908,7371349,25977220,24557845,50535065,3604202,3351455,6955657,18734543,17229100,35963643,103962,83132,187094,3749169,3318471,7067640,12554037,11673178,24227215,2327375,2154319,4481694,11775833,10935286,22711119,18617,13541,32158,264091,226499,490590,3503717,3023442,6527159,7989408,7671804,15661212,3284563,2840295,6124858,19252,15724,34976,54671,46760,101431,344791,279749,624540,2865849,2498062,5363911,NA,NA,NA
2018-19,Andaman and Nicobar Islands,39305,38195,77500,4413,4092,8505,15248,14587,29835,9300,8957,18257,5971,5901,11872,4373,4658,9031,5355,5094,10449,4413,4092,8505,942,1002,1944,14271,13640,27911,13424,12755,26179,847,885,1732,8957,8686,17643,866,819,1685,7100,6933,14033,991,934,1925,5453,5468,10921,15,11,26,1244,1069,2313,3709,3818,7527,485,570,1055,4132,4294,8426,1,0,1,100,59,159,1178,1050,2228,2853,3185,6038,1137,1013,2150,0,0,0,9,11,20,93,99,192,1035,903,1938,NA,NA,NA
2018-19,Andhra Pradesh,4090935,3770964,7861899,0,0,0,1909109,1703014,3612123,1083809,1010513,2094322,689777,646849,1336626,408240,410588,818828,229449,250337,479786,0,0,0,229449,250337,479786,1821219,1649426,3470645,1598260,1407067,3005327,222959,242359,465318,1089595,1008128,2097723,76472,42485,118957,796662,731982,1528644,216461,233661,450122,619861,573165,1193026,3399,1947,5346,58756,32579,91335,428656,389213,817869,129050,149426,278476,297574,269307,566881,1126,672,1798,4485,2672,7157,42608,22928,65536,249355,243035,492390,33237,20601,53838,403,506,909,947,921,1868,2052,1047,3099,29835,18127,47962,NA,NA,NA
2018-19,Arunachal Pradesh,173989,172889,346878,9248,8192,17440,86215,83219,169434,42616,45106,87722,23751,23906,47657,12159,12466,24625,18264,16524,34788,9248,8192,17440,9016,8332,17348,71892,69747,141639,66993,64857,131850,4899,4890,9789,42167,43422,85589,9554,9362,18916,27965,29631,57596,4648,4429,9077,24175,25314,49489,553,550,1103,7971,8580,16551,13156,13658,26814,2495,2526,5021,12997,13452,26449,85,85,170,1483,1673,3156,5021,5011,10032,6408,6683,13091,4494,4430,8924,14,33,47,298,332,630,926,808,1734,3256,3257,6513,NA,NA,NA
2018-19,Assam,3703357,3750645,7454002,273452,250111,523563,1853314,1816419,3669733,895777,956005,1851782,464768,523369,988137,216046,204741,420787,355382,327189,682571,273452,250111,523563,81930,77078,159008,1773661,1746147,3519808,1699396,1669227,3368623,74265,76920,151185,852624,902853,1755477,70607,68953,139560,730199,777985,1508184,51818,55915,107733,448349,502718,951067,1272,1052,2324,87688,97097,184785,339342,384749,724091,20047,19820,39867,218460,220163,438623,92,91,183,3338,3577,6915,66682,76066,142748,148348,140429,288777,54881,51575,106456,17,18,35,287,426,713,6926,6639,13565,47651,44492,92143,NA,NA,NA
2018-19,Bihar,12587272,12326062,24913334,368392,228833,597225,6653044,6442653,13095697,3259255,3377716,6636971,1559512,1601566,3161078,747069,675294,1422363,548444,380687,929131,368392,228833,597225,180052,151854,331906,6481813,6291871,12773684,6297656,6109580,12407236,184157,182291,366448,3673343,3796206,7469549,171771,176873,348644,2953258,3060744,6014002,548314,558589,1106903,1293204,1298539,2591743,3470,4251,7721,112573,124174,236747,883399,900270,1783669,293762,269844,563606,488198,462357,950555,93,94,187,5646,6288,11934,116438,131130,247568,366021,324845,690866,102270,96402,198672,2,1,3,3621,4219,7840,11361,11577,22938,87286,80605,167891,NA,NA,NA
2018-19,Chandigarh,145225,123665,268890,14125,12395,26520,50102,44099,94201,35665,29790,65455,22505,19328,41833,22828,18053,40881,16556,14761,31317,14125,12395,26520,2431,2366,4797,46241,40900,87141,43527,38379,81906,2714,2521,5235,35661,30617,66278,4088,3322,7410,28610,24378,52988,2963,2917,5880,22535,18523,41058,51,28,79,4019,2715,6734,15831,13408,29239,2634,2372,5006,19563,15452,35015,4,4,8,297,162,459,3438,2754,6192,15824,12532,28356,4669,3412,8081,1,0,1,25,14,39,273,249,522,4370,3149,7519,NA,NA,NA
2018-19,Chhattisgarh,2991766,2961588,5953354,145997,128176,274173,1350470,1285811,2636281,768077,749245,1517322,453326,493101,946427,273896,305255,579151,185876,169551,355427,145997,128176,274173,39879,41375,81254,1265563,1220623,2486186,1228533,1181378,2409911,37030,39245,76275,765822,746086,1511908,79219,61212,140431,650385,644816,1295201,36218,40058,76276,421236,448074,869310,2017,1278,3295,75980,61878,137858,326087,362481,688568,17152,22437,39589,264265,294888,559153,505,361,866,4102,2906,7008,84257,84390,168647,175401,207231,382632,89004,82366,171370,317,207,524,580,400,980,6764,6172,12936,81343,75587,156930,NA,NA,NA
2018-19,Dadra and Nagar Haveli,45277,40298,85575,1869,1411,3280,21900,19588,41488,10511,9251,19762,7255,6306,13561,3742,3742,7484,1945,1543,3488,1869,1411,3280,76,132,208,20250,18160,38410,19970,17926,37896,280,234,514,12415,11074,23489,1801,1487,3288,9019,8126,17145,1595,1461,3056,6595,5950,12545,48,37,85,1093,822,1915,4681,4181,8862,773,910,1683,3219,2986,6205,5,6,11,111,67,178,869,605,1474,2234,2308,4542,853,585,1438,0,0,0,8,2,10,110,59,169,735,524,1259,NA,NA,NA
2018-19,Daman and Diu,22155,19754,41909,1306,1153,2459,10197,8882,19079,5554,4844,10398,3307,3013,6320,1791,1862,3653,1906,1761,3667,1306,1153,2459,600,608,1208,9056,8098,17154,8621,7641,16262,435,457,892,5647,4949,10596,930,619,1549,4404,3905,8309,313,425,738,3210,2909,6119,41,14,55,631,440,1071,2349,2131,4480,189,324,513,1973,1758,3731,5,0,5,80,38,118,603,427,1030,1285,1293,2578,363,279,642,0,0,0,4,4,8,42,30,72,317,245,562,NA,NA,NA
