Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2018-19,India,260294216,11955632,120230170,64267026,184497196,38334571,25506817
2018-19,Andaman and Nicobar Islands,77500,8505,29835,18257,48092,11872,9031
2018-19,Andhra Pradesh,7861899,0,3612123,2094322,5706445,1336626,818828
2018-19,Arunachal Pradesh,346878,17440,169434,87722,257156,47657,24625
2018-19,Assam,7454002,523563,3669733,1851782,5521515,988137,420787
2018-19,Bihar,24913334,597225,13095697,6636971,19732668,3161078,1422363
2018-19,Chandigarh,268890,26520,94201,65455,159656,41833,40881
2018-19,Chhattisgarh,5953354,274173,2636281,1517322,4153603,946427,579151
2018-19,Dadra and Nagar Haveli,85575,3280,41488,19762,61250,13561,7484
2018-19,Daman and Diu,41909,2459,19079,10398,29477,6320,3653
2018-19,Delhi,4416771,272528,1803500,1123438,2926938,731032,486273
2018-19,Goa,311524,29379,123882,71957,195839,48172,38134
2018-19,Gujarat,11755612,274260,5418484,3256808,8675292,1806596,999464
2018-19,Haryana,5894485,330308,2546529,1456517,4003046,967567,593564
2018-19,Himachal Pradesh,1475751,101616,580679,340938,921617,252131,200387
2018-19,Jammu and Kashmir,2538513,331766,1083956,568676,1652632,322717,231398
2018-19,Jharkhand,8163423,554629,4028871,1993556,6022427,967609,618758
2018-19,Karnataka,11950522,596547,5502503,3072217,8574720,1800265,978990
2018-19,Kerala,6361611,545065,2464299,1483643,3947942,1020276,848328
2018-19,Ladakh,56670,10717,22517,11625,34142,7113,4698
2018-19,Lakshadweep,12803,1128,4834,2514,7348,2122,2205
2018-19,Madhya Pradesh,16284778,573753,7564100,4231322,11795422,2488687,1426916
2018-19,Maharashtra,23231693,875660,9921352,5826700,15748052,3723213,2884768
2018-19,Manipur,706939,68448,334342,155573,489915,84981,63595
2018-19,Meghalaya,1144831,223370,520149,231668,751817,111350,58294
2018-19,Mizoram,306818,37634,137152,66456,203608,41198,24378
2018-19,Nagaland,463696,87395,187341,100115,287456,55946,32899
2018-19,Odisha,8258830,156499,3605539,2127043,5732582,1293007,1076742
2018-19,Puducherry,271093,32051,101839,61419,163258,41591,34193
2018-19,Punjab,6020083,755393,2307018,1369944,3676962,900190,687538
2018-19,Rajasthan,17520027,1052465,8083448,4033575,12117023,2555115,1795424
2018-19,Sikkim,146469,19417,49594,34840,84434,26316,16302
2018-19,Tamil Nadu,13416691,1237334,5304545,3137263,8441808,2052424,1685125
2018-19,Telangana,6701217,144516,3052115,1684041,4736156,1074334,746211
2018-19,Tripura,741376,30617,331381,197683,529064,124535,57160
2018-19,Uttar Pradesh,44489558,359144,22786858,10614373,33401231,6205449,4523734
2018-19,Uttarakhand,2453141,127529,1061590,592558,1654148,378842,292622
2018-19,West Bengal,18195950,1673299,7933882,4118573,12052455,2698282,1771914
2019-20,India,264527575,13555892,121686703,64873387,186560090,38464433,25947160
2019-20,Andaman and Nicobar Islands,76883,8756,29606,18169,47775,12837,7515
2019-20,Andhra Pradesh,8323103,186170,3774467,2132103,5906570,1336699,893664
2019-20,Arunachal Pradesh,351050,28255,170639,86259,256898,43028,22869
2019-20,Assam,7520100,504202,3676705,1915251,5591956,1003285,420657
2019-20,Bihar,25320388,644898,13075193,6698518,19773711,3224336,1677443
2019-20,Chandigarh,264951,26662,93707,65074,158781,40530,38978
2019-20,Chhattisgarh,6031209,354006,2651484,1481381,4132865,943808,600530
2019-20,Dadra and Nagar Haveli,89010,3829,43123,19637,62760,14095,8326
2019-20,Daman and Diu,42991,2486,19542,10612,30154,6432,3919
2019-20,Delhi,4473643,293026,1811723,1139560,2951283,726754,502580
2019-20,Goa,307485,25267,124383,71995,196378,48621,37219
2019-20,Gujarat,11817214,335607,5529122,3085057,8614179,1826565,1040863
2019-20,Haryana,6007696,353704,2586473,1459437,4045910,959243,648839
2019-20,Himachal Pradesh,1482640,123171,576528,337738,914266,243299,201904
2019-20,Jammu and Kashmir,2542047,334751,1094851,573089,1667940,328628,210728
2019-20,Jharkhand,8041867,552730,3886161,1986908,5873069,965531,650537
2019-20,Karnataka,12139105,594220,5444277,3127797,8572074,1836892,1135919
2019-20,Kerala,6464071,621460,2483556,1486644,3970200,1004203,868208
2019-20,Ladakh,57033,10138,22893,11980,34873,7156,4866
2019-20,Lakshadweep,12606,1197,5124,2519,7643,1777,1989
