Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2018-19,India,27978999,448977,5730599,7926832,13657431,7924543,5948048
2018-19,Andaman and Nicobar Islands,1883,60,530,454,984,403,436
2018-19,Andhra Pradesh,263499,0,100634,64719,165353,42678,55468
2018-19,Arunachal Pradesh,18604,504,9412,5426,14838,2606,656
2018-19,Assam,458882,514,2443,300614,303057,100338,54973
2018-19,Bihar,184794,1120,52967,58772,111739,54020,17915
2018-19,Chandigarh,8425,389,1916,1626,3542,1307,3187
2018-19,Chhattisgarh,89841,942,31317,23593,54910,19010,14979
2018-19,Dadra and Nagar Haveli,2433,0,1362,626,1988,445,0
2018-19,Daman and Diu,5211,0,916,1673,2589,1154,1468
2018-19,Delhi,159135,993,44371,51341,95712,35472,26958
2018-19,Goa,223361,19368,71574,59790,131364,40356,32273
2018-19,Gujarat,1827012,2772,62901,106458,169359,1102293,552588
2018-19,Haryana,16946,654,4538,4219,8757,4214,3321
2018-19,Himachal Pradesh,0,0,0,0,0,0,0
2018-19,Jammu and Kashmir,197,59,86,52,138,0,0
2018-19,Jharkhand,341000,14700,164677,95877,260554,44232,21514
2018-19,Karnataka,1563931,9208,410532,426925,837457,500076,217190
2018-19,Kerala,2681059,148470,917765,714338,1632103,514527,385959
2018-19,Ladakh,472,0,403,69,472,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,157490,1988,46800,29795,76595,40929,37978
2018-19,Maharashtra,10839385,172505,2504396,3286945,5791341,2700510,2175029
2018-19,Manipur,29041,831,16892,6160,23052,3567,1591
2018-19,Meghalaya,385676,58032,136387,97153,233540,65977,28127
2018-19,Mizoram,21197,0,1765,5311,7076,9268,4853
2018-19,Nagaland,0,0,0,0,0,0,0
2018-19,Odisha,927677,607,25948,152602,178550,396597,351923
2018-19,Puducherry,30244,2488,11100,8259,19359,5585,2812
2018-19,Punjab,229568,2374,57364,57764,115128,52263,59803
2018-19,Rajasthan,0,0,0,0,0,0,0
2018-19,Sikkim,3757,153,964,1095,2059,841,704
2018-19,Tamil Nadu,2300344,2843,682464,699890,1382354,488934,426213
2018-19,Telangana,109502,1971,51018,28491,79509,19419,8603
2018-19,Tripura,28352,57,7322,7746,15068,6218,7009
2018-19,Uttar Pradesh,4849774,970,284660,1561620,1846280,1607564,1394960
2018-19,Uttarakhand,166062,761,8614,53877,62491,54116,48694
2018-19,West Bengal,54245,3644,16561,13552,30113,9624,10864
2019-20,India,27498530,484292,5598903,7767921,13366824,7778881,5868533
2019-20,Andaman and Nicobar Islands,1871,58,538,480,1018,414,381
2019-20,Andhra Pradesh,251003,1124,94609,62252,156861,39889,53129
2019-20,Arunachal Pradesh,19750,911,9818,5553,15371,2763,705
2019-20,Assam,461786,560,2627,302728,305355,100398,55473
2019-20,Bihar,188259,732,52016,57535,109551,55317,22659
2019-20,Chandigarh,8690,614,2066,1639,3705,1313,3058
2019-20,Chhattisgarh,83935,677,29433,22098,51531,17485,14242
2019-20,Dadra and Nagar Haveli,1927,0,851,648,1499,428,0
2019-20,Daman and Diu,4992,0,731,1648,2379,1090,1523
2019-20,Delhi,155443,1122,43548,50481,94029,33996,26296
2019-20,Goa,220353,15452,72372,59751,132123,40748,32030
