Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2018-19,India,131113434,2397065,67539828,35131348,102671176,16992666,9052527
2018-19,Andaman and Nicobar Islands,52745,3327,18869,13580,32449,9475,7494
2018-19,Andhra Pradesh,3897043,0,1728840,1208496,2937336,785441,174266
2018-19,Arunachal Pradesh,226114,1740,99776,63461,163237,39281,21856
2018-19,Assam,5065520,266655,2670485,1215369,3885854,665701,247310
2018-19,Bihar,19851353,1782,10652788,5654354,16307142,2650924,891505
2018-19,Chandigarh,156895,7212,53998,43271,97269,27548,24866
2018-19,Chhattisgarh,4120334,31609,1804732,1126590,2931322,729866,427537
2018-19,Dadra and Nagar Haveli,58466,10,27915,13910,41825,10560,6071
2018-19,Daman and Diu,20981,198,9627,5801,15428,3620,1735
2018-19,Delhi,2377476,89180,859025,660942,1519967,478050,290279
2018-19,Goa,44496,719,25197,8241,33438,5741,4598
2018-19,Gujarat,5429274,11827,3232889,1977972,5210861,154914,51672
2018-19,Haryana,2149543,12878,924414,588247,1512661,404225,219779
2018-19,Himachal Pradesh,854569,5778,306196,210331,516527,175531,156733
2018-19,Jammu and Kashmir,1318292,76987,551510,310411,861921,192823,186561
2018-19,Jharkhand,4993773,116606,2673803,1343710,4017513,576046,283608
2018-19,Karnataka,4951087,1318,2467673,1508618,3976291,662901,310577
2018-19,Kerala,1682669,122211,541065,368494,909559,298772,352127
2018-19,Ladakh,27237,4211,9055,5396,14451,4472,4103
2018-19,Lakshadweep,12803,1128,4834,2514,7348,2122,2205
2018-19,Madhya Pradesh,9285196,6339,4206916,2608598,6815514,1629154,834189
2018-19,Maharashtra,5771908,107671,4151676,1191197,5342873,240833,80531
2018-19,Manipur,201236,7242,117122,39112,156234,19611,18149
2018-19,Meghalaya,478172,100354,255377,102099,357476,10301,10041
2018-19,Mizoram,130744,8847,62708,32843,95551,17814,8532
2018-19,Nagaland,179079,40994,73816,38191,112007,16939,9139
2018-19,Odisha,5508288,53028,2776850,1678822,4455672,776951,222637
2018-19,Puducherry,83589,6952,25732,20304,46036,15554,15047
2018-19,Punjab,2475916,220378,901270,620838,1522108,422800,310630
2018-19,Rajasthan,8490185,7744,4050889,2124045,6174934,1418538,888969
2018-19,Sikkim,94513,5616,25786,26629,52415,22304,14178
2018-19,Tamil Nadu,4589477,13902,1730662,1288147,3018809,863353,693413
2018-19,Telangana,2823888,1453,1165093,867387,2032480,557543,232412
2018-19,Tripura,571868,1707,252694,165046,417740,107165,45256
2018-19,Uttar Pradesh,16896167,21111,12138764,4148001,16286765,360800,227491
2018-19,Uttarakhand,968230,425,393744,246123,639867,186192,141746
2018-19,West Bengal,15274308,1037926,6548038,3604258,10152296,2448801,1635285
2019-20,India,130931634,2789038,66775098,34907124,101682222,17033843,9426531
2019-20,Andaman and Nicobar Islands,51905,3636,18575,13323,31898,10331,6040
2019-20,Andhra Pradesh,4042535,19873,1791045,1242286,3033331,785800,203531
2019-20,Arunachal Pradesh,213421,5035,96787,58910,155697,33257,19432
2019-20,Assam,5031895,243328,2639297,1240876,3880173,667732,240662
2019-20,Bihar,19579263,690,10337794,5555551,15893345,2617610,1067618
2019-20,Chandigarh,152561,7221,53029,42659,95688,25860,23792
2019-20,Chhattisgarh,4000147,3503,1758045,1071423,2829468,722899,444277
2019-20,Dadra and Nagar Haveli,61015,675,29196,13523,42719,10946,6675
2019-20,Daman and Diu,22139,133,10384,5924,16308,3789,1909
2019-20,Delhi,2409441,99622,862590,670598,1533188,475096,301535
2019-20,Goa,43547,844,24871,8180,33051,5714,3938
2019-20,Gujarat,5295130,7194,3259701,1818599,5078300,154088,55548
2019-20,Haryana,2131579,10365,916738,566549,1483287,385059,252868
2019-20,Himachal Pradesh,851783,26415,297782,205396,503178,165560,156630
2019-20,Jammu and Kashmir,1271045,74842,534448,304657,839105,192558,164540
