Year,State,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2018-19,India,1.01,1.02,1.01,1.0,1.03
2018-19,Andaman and Nicobar Islands,1.05,1.02,1.04,1.12,1.23
2018-19,Andhra Pradesh,0.95,0.98,0.96,0.99,1.07
2018-19,Arunachal Pradesh,1.0,1.07,1.02,1.03,1.04
2018-19,Assam,1.03,1.1,1.05,1.17,1.0
2018-19,Bihar,1.03,1.1,1.05,1.11,1.0
2018-19,Chandigarh,1.1,1.07,1.09,1.15,1.11
2018-19,Chhattisgarh,0.99,1.01,1.0,1.12,1.15
2018-19,Dadra and Nagar Haveli,1.03,1.0,1.02,1.07,1.37
2018-19,Daman and Diu,1.03,1.03,1.03,1.25,2.01
2018-19,Delhi,1.03,1.04,1.03,1.06,1.1
2018-19,Goa,1.04,1.01,1.03,1.02,1.15
2018-19,Gujarat,1.02,0.99,1.01,0.85,0.96
2018-19,Haryana,0.99,1.0,0.99,0.96,1.0
2018-19,Himachal Pradesh,1.02,1.01,1.01,1.01,1.06
2018-19,Jammu and Kashmir,1.04,1.04,1.04,1.0,0.99
2018-19,Jharkhand,0.99,1.05,1.01,1.06,1.02
2018-19,Karnataka,0.98,0.98,0.98,0.98,1.21
2018-19,Kerala,1.0,1.0,1.0,0.99,1.12
2018-19,Ladakh,1.09,1.16,1.11,1.17,1.3
2018-19,Lakshadweep,1.03,0.97,1.0,1.02,0.98
2018-19,Madhya Pradesh,0.99,0.97,0.98,0.93,0.95
2018-19,Maharashtra,1.0,0.99,0.99,0.97,0.95
2018-19,Manipur,1.02,1.03,1.02,1.04,0.95
2018-19,Meghalaya,1.03,1.14,1.06,1.2,1.22
2018-19,Mizoram,0.99,1.0,0.99,1.03,1.12
2018-19,Nagaland,1.02,1.08,1.04,1.13,1.1
2018-19,Odisha,0.99,0.97,0.98,0.99,1.12
2018-19,Puducherry,1.03,1.02,1.03,1.07,1.23
2018-19,Punjab,1.0,1.01,1.0,1.0,1.02
2018-19,Rajasthan,1.0,0.93,0.98,0.89,0.83
2018-19,Sikkim,0.92,1.04,0.96,1.14,1.28
2018-19,Tamil Nadu,1.0,0.99,1.0,1.01,1.23
2018-19,Telangana,0.99,1.0,1.0,1.03,1.15
2018-19,Tripura,1.02,1.03,1.02,1.08,1.03
2018-19,Uttar Pradesh,1.04,1.05,1.04,0.94,0.96
2018-19,Uttarakhand,1.01,1.02,1.02,1.02,1.09
2018-19,West Bengal,1.01,1.08,1.03,1.26,1.2
2019-20,India,1.02,1.02,1.02,1.0,1.04
2019-20,Andaman and Nicobar Islands,1.05,1.04,1.05,1.09,1.37
2019-20,Andhra Pradesh,0.96,0.97,0.97,1.0,1.14
2019-20,Arunachal Pradesh,1.02,1.07,1.03,1.13,1.17
2019-20,Assam,1.04,1.1,1.06,1.19,1.03
2019-20,Bihar,1.04,1.09,1.05,1.09,1.01
2019-20,Chandigarh,1.11,1.1,1.1,1.14,1.19
2019-20,Chhattisgarh,1.0,1.01,1.0,1.08,1.19
2019-20,Dadra and Nagar Haveli,1.04,1.01,1.03,1.1,1.4
2019-20,Daman and Diu,1.03,1.05,1.04,1.24,2.13
2019-20,Delhi,1.04,1.04,1.04,1.04,1.12
2019-20,Goa,1.04,1.02,1.03,1.02,1.16
2019-20,Gujarat,1.04,1.0,1.02,0.86,0.98
2019-20,Haryana,1.0,0.99,0.99,0.95,1.04
2019-20,Himachal Pradesh,1.01,1.02,1.01,1.0,1.08
2019-20,Jammu and Kashmir,1.03,1.06,1.04,1.01,1.0
2019-20,Jharkhand,1.0,1.05,1.02,1.07,1.01
2019-20,Karnataka,0.99,1.0,0.99,0.98,1.18
