Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total
2018-19,India,111.1,109.1,110.1,96.9,95.5,96.2,105.8,104.1,105,77.7,78.7,78.2,43.5,44.4,43.9
2018-19,Andaman and Nicobar Islands,101.4,114.9,107.7,107.9,118,112.6,103.8,116,109.5,60.1,72.5,65.9,53.4,54.4,53.9
2018-19,Andhra Pradesh,109.6,106.7,108.2,88,88.8,88.4,101.6,100,100.8,67.8,71,69.4,40.4,42.6,41.5
2018-19,Arunachal Pradesh,104.8,106.5,105.6,80.6,86.6,83.6,95.2,98.4,96.8,66.5,67.5,67,41.9,42.7,42.3
2018-19,Assam,121.1,124.6,122.8,100.4,103.4,101.9,112.9,116.1,114.5,88.3,90.8,89.5,44.6,39.7,42.1
2018-19,Bihar,194.7,190.5,192.6,134.1,143.1,138.5,172.2,172.8,172.5,110,120.6,115.2,65.4,66.7,66.1
2018-19,Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Chhattisgarh,95.6,94.1,94.9,90.8,90.9,90.8,93.9,92.9,93.4,73,84.5,78.7,42.9,50.4,46.6
2018-19,Dadra and Nagar Haveli,76.6,83.1,79.7,58.9,59.7,59.3,69.7,73.9,71.7,79.6,83.2,81.3,41.6,49.3,45.2
2018-19,Daman and Diu,87.7,90.5,89,89.9,88.6,89.3,88.6,89.8,89.1,101.3,102.6,101.9,24.4,44.4,33.3
2018-19,Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Goa,69.6,72.1,70.8,74.9,82.6,78.6,71.7,76.2,73.8,86.6,90.9,88.6,75.1,79.5,77.2
2018-19,Gujarat,98.8,96.4,97.6,95.6,92.4,94,97.6,94.9,96.3,72.7,69.3,71.1,35.1,38.8,36.8
2018-19,Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
