Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2020-21,India,784062,301621,98440,82198,390634,149360,49060,42428,393428,152261,49380,39770
2020-21,Andaman and Nicobar Islands,97,52,45,0,46,27,19,0,51,25,26,0
2020-21,Andhra Pradesh,18345,2951,2782,7180,9133,1150,1266,3493,9212,1801,1516,3687
2020-21,Arunachal Pradesh,1286,312,785,8,660,137,426,4,626,175,359,4
2020-21,Assam,238,72,10,0,118,35,6,0,120,37,4,0
2020-21,Bihar,6920,382,222,444,3485,262,178,233,3435,120,44,211
2020-21,Chandigarh,421,286,110,0,214,142,53,0,207,144,57,0
2020-21,Chhattisgarh,3283,532,132,905,1668,270,51,499,1615,262,81,406
2020-21,Daman and Diu and Dadra and Nagar Haveli,187,52,96,0,111,31,59,0,76,21,37,0
2020-21,Delhi,5304,1380,3505,335,2202,590,1451,157,3102,790,2054,178
2020-21,Goa,11218,6139,2089,338,5621,3067,1049,159,5597,3072,1040,179
2020-21,Gujarat,8393,1755,811,2940,4287,847,404,1504,4106,908,407,1436
2020-21,Haryana,496,150,126,36,250,77,66,21,246,73,60,15
2020-21,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Jammu and Kashmir,19,19,0,0,6,6,0,0,13,13,0,0
2020-21,Jharkhand,17485,6476,1626,2673,8241,3067,755,1326,9244,3409,871,1347
2020-21,Karnataka,54753,1734,628,1193,27619,828,311,615,27134,906,317,578
2020-21,Kerala,167975,94392,30349,19156,84492,47501,15201,9992,83483,46891,15148,9164
2020-21,Ladakh,83,10,31,9,64,10,28,8,19,0,3,1
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,3069,553,177,315,1546,281,87,144,1523,272,90,171
2020-21,Maharashtra,300157,93826,40974,39480,151388,46537,20965,20695,148769,47289,20009,18785
2020-21,Manipur,5548,679,1660,1784,2817,347,839,910,2731,332,821,874
2020-21,Meghalaya,31822,24989,4886,1154,16362,12850,2491,619,15460,12139,2395,535
