Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2020-21,India,6602613,2586168,757422,207517,3645856,1413243,421168,113752,2956757,1172925,336254,93765
2020-21,Andaman and Nicobar Islands,1775,1249,436,4,900,649,220,1,875,600,216,3
2020-21,Andhra Pradesh,258030,87604,60859,71759,139861,40880,33107,37930,118169,46724,27752,33829
2020-21,Arunachal Pradesh,7695,3043,907,87,4023,1588,504,47,3672,1455,403,40
2020-21,Assam,137586,69262,12438,2762,74731,37654,6794,1431,62855,31608,5644,1331
2020-21,Bihar,209630,33395,17580,2940,126478,20452,10675,1742,83152,12943,6905,1198
2020-21,Chandigarh,5894,4857,402,0,3152,2589,219,0,2742,2268,183,0
2020-21,Chhattisgarh,131553,79862,8669,7929,70192,42732,4572,4269,61361,37130,4097,3660
2020-21,Daman and Diu and Dadra and Nagar Haveli,3238,1942,928,15,1799,1082,541,9,1439,860,387,6
2020-21,Delhi,154468,93168,57299,3637,87393,52066,33051,2066,67075,41102,24248,1571
2020-21,Goa,5107,2542,1181,7,2698,1310,635,5,2409,1232,546,2
2020-21,Gujarat,340269,127942,57722,20766,191949,71907,32686,11858,148320,56035,25036,8908
2020-21,Haryana,232725,96604,31316,7495,134195,55506,18060,4337,98530,41098,13256,3158
2020-21,Himachal Pradesh,41062,22264,2525,766,22497,12248,1395,431,18565,10016,1130,335
2020-21,Jammu and Kashmir,94157,50354,7972,544,51553,27131,4485,289,42604,23223,3487,255
2020-21,Jharkhand,34613,17240,6138,611,19825,9795,3663,308,14788,7445,2475,303
2020-21,Karnataka,372002,45222,8892,1282,202404,24243,4697,757,169598,20979,4195,525
2020-21,Kerala,160751,99033,27354,1538,83695,51417,14502,784,77056,47616,12852,754
2020-21,Ladakh,1482,895,56,1,764,466,24,1,718,429,32,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,346242,173411,14583,8095,192287,96006,8064,4481,153955,77405,6519,3614
2020-21,Maharashtra,568190,232626,109661,18080,311510,127178,59768,10192,256680,105448,49893,7888
2020-21,Manipur,32929,18977,5811,686,17161,10010,3182,368,15768,8967,2629,318
2020-21,Meghalaya,25471,21829,2723,80,12979,11077,1454,38,12492,10752,1269,42
2020-21,Mizoram,12883,8712,1211,813,6673,4539,615,418,6210,4173,596,395
2020-21,Nagaland,18187,12414,1264,14,9479,6448,673,8,8708,5966,591,6
2020-21,Odisha,121749,50096,71646,270,68742,28418,40331,147,53007,21678,31315,123
2020-21,Puducherry,9386,6315,1519,2,4937,3274,908,1,4449,3041,611,1
2020-21,Punjab,219154,196824,22330,0,122754,110667,12087,0,96400,86157,10243,0
2020-21,Rajasthan,595030,149433,54131,19141,336711,84616,30192,10848,258319,64817,23939,8293
2020-21,Sikkim,3470,1874,355,31,1775,939,177,20,1695,935,178,11
2020-21,Tamil Nadu,564604,513891,0,107,301669,274550,0,63,262935,239341,0,44
2020-21,Telangana,320073,2549,63357,12679,172180,1384,33827,6768,147893,1165,29530,5911
2020-21,Tripura,9755,5031,1388,243,5262,2611,753,138,4493,2420,635,105
2020-21,Uttar Pradesh,1169779,123083,72188,17405,647838,70269,40645,9766,521941,52814,31543,7639
2020-21,Uttarakhand,95152,34419,16407,5239,53151,19245,9390,2887,42001,15174,7017,2352
2020-21,West Bengal,298522,198206,16174,2489,162639,108297,9272,1344,135883,89909,6902,1145
2021-22,India,5815904,2181855,671623,431436,3207717,1188041,372174,238029,2608187,993814,299449,193407
2021-22,Andaman and Nicobar Islands,1401,787,342,1,738,421,184,1,663,366,158,0
2021-22,Andhra Pradesh,148291,50523,26175,13155,81235,27447,14130,7288,67056,23076,12045,5867
2021-22,Arunachal Pradesh,8006,3479,1077,254,4348,1851,600,148,3658,1628,477,106
2021-22,Assam,119348,53383,10683,2203,64891,29011,5909,1125,54457,24372,4774,1078
2021-22,Bihar,220148,33852,23375,2542,131618,20359,14177,1525,88530,13493,9198,1017
2021-22,Chandigarh,6040,5043,478,0,3219,2708,265,0,2821,2335,213,0
2021-22,Chhattisgarh,124695,69281,11478,7713,66436,36878,6189,4196,58259,32403,5289,3517
2021-22,Daman and Diu and Dadra and Nagar Haveli,3186,1523,1070,62,1766,858,582,28,1420,665,488,34
2021-22,Delhi,132040,81559,44615,3276,74156,45301,25496,1834,57884,36258,19119,1442
2021-22,Goa,5023,2538,1223,14,2720,1326,683,13,2303,1212,540,1
2021-22,Gujarat,320966,95659,56824,22501,180462,53678,31115,12879,140504,41981,25709,9622
2021-22,Haryana,210825,74872,35102,7575,120832,42769,20082,4290,89993,32103,15020,3285
2021-22,Himachal Pradesh,34138,17574,2514,772,18654,9545,1372,419,15484,8029,1142,353
2021-22,Jammu and Kashmir,87017,43830,9219,699,47131,23242,5076,378,39886,20588,4143,321
2021-22,Jharkhand,34454,13890,6466,608,19790,7835,3753,420,14664,6055,2713,188
2021-22,Karnataka,449881,114040,11807,290010,244960,61086,6172,158876,204921,52954,5635,131134
2021-22,Kerala,142978,73049,19097,2237,74464,37841,10149,1196,68514,35208,8948,1041
2021-22,Ladakh,1475,636,88,0,759,328,46,0,716,308,42,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,371297,187388,31240,10529,203923,102956,17190,5768,167374,84432,14050,4761
2021-22,Maharashtra,524113,183273,105422,14160,286438,99211,57575,8029,237675,84062,47847,6131
2021-22,Manipur,25850,13805,4360,375,13588,7144,2535,211,12262,6661,1825,164
2021-22,Meghalaya,23182,19165,1986,173,11667,9682,989,95,11515,9483,997,78
2021-22,Mizoram,11805,7036,637,1195,5959,3539,338,610,5846,3497,299,585
2021-22,Nagaland,17926,12078,1195,0,9357,6302,628,0,8569,5776,567,0
2021-22,Odisha,82790,25793,7276,6179,46057,14384,3942,3426,36733,11409,3334,2753
2021-22,Puducherry,7431,4688,1483,41,3801,2374,847,25,3630,2314,636,16
2021-22,Punjab,148049,74956,20022,606,82243,41759,11203,353,65806,33197,8819,253
2021-22,Rajasthan,511287,117662,49857,14636,290739,66387,27954,8386,220548,51275,21903,6250
2021-22,Sikkim,3491,1699,339,21,1842,898,167,11,1649,801,172,10
2021-22,Tamil Nadu,474123,463918,7270,2935,252302,247035,3790,1476,221821,216883,3480,1459
2021-22,Telangana,127103,110,42214,4170,68016,63,22524,2279,59087,47,19690,1891
2021-22,Tripura,8380,3764,942,246,4557,2005,507,137,3823,1759,435,109
2021-22,Uttar Pradesh,1096525,116770,94367,17152,608492,66049,53054,9649,488033,50721,41313,7503
2021-22,Uttarakhand,89750,28885,13986,4136,49797,16298,7809,2283,39953,12587,6177,1853
2021-22,West Bengal,242890,185347,27394,1260,130760,99471,15142,675,112130,85876,12252,585
