Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with CWSN friendly toilet - All management,Schools with CWSN friendly toilet - Government,Schools with CWSN friendly toilet - Government aided,Schools with CWSN friendly toilet - Pvt. unaided,Schools with CWSN friendly toilet - Others,Schools with functional CWSN friendly toilet - All management,Schools with functional CWSN friendly toilet - Government,Schools with functional CWSN friendly toilet - Government aided,Schools with functional CWSN friendly toilet - Pvt. unaided,Schools with functional CWSN friendly toilet - Others
2018-19,India,1551000,1083747,84623,326228,56402,272043,187416,15423,61907,7297,258013,176733,14933,59317,7030
2018-19,Andaman and Nicobar Islands,414,339,2,72,1,83,71,0,12,0,82,70,0,12,0
2018-19,Andhra Pradesh,63621,45013,2346,15862,400,1575,15,51,1495,14,1575,15,51,1495,14
2018-19,Arunachal Pradesh,3793,3179,64,503,47,213,147,6,56,4,194,130,6,54,4
2018-19,Assam,66324,47223,5065,6084,7952,8932,7970,123,726,113,8621,7717,112,688,104
2018-19,Bihar,89224,72630,698,6249,9647,9540,7134,80,940,1386,9293,6940,78,919,1356
2018-19,Chandigarh,229,121,7,74,27,137,83,4,47,3,137,83,4,47,3
2018-19,Chhattisgarh,56274,48671,434,6842,327,30173,27189,139,2754,91,25945,23023,137,2699,86
2018-19,Dadra and Nagar Haveli,346,300,10,35,1,260,249,2,9,0,242,231,2,9,0
2018-19,Daman and Diu,140,112,4,23,1,65,60,0,5,0,65,60,0,5,0
2018-19,Delhi,5703,2784,253,2666,0,5011,2547,170,2294,0,5011,2547,170,2294,0
2018-19,Goa,1486,833,514,139,0,56,17,27,12,0,54,15,27,12,0
2018-19,Gujarat,54581,35202,5734,13641,4,7393,6031,369,993,0,6811,5561,328,922,0
2018-19,Haryana,23534,14516,26,7913,1079,6377,5487,2,800,88,6163,5313,2,765,83
2018-19,Himachal Pradesh,18212,15433,0,2778,1,4156,3248,0,908,0,4011,3122,0,889,0
2018-19,Jammu and Kashmir,28654,23167,1,5439,47,991,351,1,635,4,944,313,1,626,4
2018-19,Jharkhand,45908,35954,1177,1400,7377,636,393,18,66,159,588,359,18,65,146
2018-19,Karnataka,78233,50184,7417,20604,28,4952,2725,292,1933,2,3827,1936,220,1671,0
2018-19,Kerala,16701,5011,7195,3156,1339,1995,1168,498,240,89,1811,1032,466,229,84
2018-19,Ladakh,1054,913,28,113,0,20,14,0,6,0,18,12,0,6,0
2018-19,Lakshadweep,45,45,0,0,0,11,11,0,0,0,11,11,0,0,0
2018-19,Madhya Pradesh,154064,122056,874,29182,1952,2054,1557,10,478,9,1884,1416,10,449,9
2018-19,Maharashtra,109942,66033,23554,19400,955,37679,20965,7920,8449,345,34954,18722,7665,8229,338
2018-19,Manipur,4844,3073,587,1003,181,334,107,13,185,29,323,101,11,184,27
2018-19,Meghalaya,14669,7802,4181,2220,466,237,133,63,40,1,218,120,60,37,1
2018-19,Mizoram,3913,2564,231,1025,93,613,570,16,26,1,541,502,15,24,0
2018-19,Nagaland,2752,2007,0,745,0,83,67,0,16,0,74,60,0,14,0
2018-19,Odisha,68717,55483,5770,4957,2507,46701,38921,3178,3048,1554,46701,38921,3178,3048,1554
2018-19,Puducherry,739,423,33,283,0,284,187,9,88,0,270,173,9,88,0
2018-19,Punjab,28637,19404,458,8495,280,11589,9404,81,2024,80,10841,8710,79,1976,76
2018-19,Rajasthan,105883,67607,0,35776,2500,18320,5763,0,12262,295,16463,5082,0,11143,238
2018-19,Sikkim,1290,854,19,417,0,111,96,1,14,0,99,85,1,13,0
