Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with computer facility - All management,Schools with computer facility - Government,Schools with computer facility - Government aided,Schools with computer facility - Pvt. unaided,Schools with computer facility - Others
2018-19,India,1551000,1083747,84623,326228,56402,535470,305524,47470,170307,12169
2018-19,Andaman and Nicobar Islands,414,339,2,72,1,216,146,2,67,1
2018-19,Andhra Pradesh,63621,45013,2346,15862,400,18371,6715,187,11430,39
2018-19,Arunachal Pradesh,3793,3179,64,503,47,583,349,26,193,15
2018-19,Assam,66324,47223,5065,6084,7952,9239,6457,293,2368,121
2018-19,Bihar,89224,72630,698,6249,9647,9803,4052,101,2482,3168
2018-19,Chandigarh,229,121,7,74,27,225,119,7,74,25
2018-19,Chhattisgarh,56274,48671,434,6842,327,52402,47793,166,4360,83
2018-19,Dadra and Nagar Haveli,346,300,10,35,1,252,214,6,31,1
2018-19,Daman and Diu,140,112,4,23,1,130,104,4,21,1
2018-19,Delhi,5703,2784,253,2666,0,5270,2611,214,2445,0
2018-19,Goa,1486,833,514,139,0,725,146,452,127,0
2018-19,Gujarat,54581,35202,5734,13641,4,38341,23254,4850,10235,2
2018-19,Haryana,23534,14516,26,7913,1079,11272,4601,19,5999,653
2018-19,Himachal Pradesh,18212,15433,0,2778,1,5915,3541,0,2374,0
2018-19,Jammu and Kashmir,28654,23167,1,5439,47,6146,2993,1,3132,20
2018-19,Jharkhand,45908,35954,1177,1400,7377,25766,22548,254,711,2253
2018-19,Karnataka,78233,50184,7417,20604,28,71989,45734,6958,19269,28
2018-19,Kerala,16701,5011,7195,3156,1339,14682,4530,6589,2595,968
2018-19,Ladakh,1054,913,28,113,0,305,232,7,66,0
2018-19,Lakshadweep,45,45,0,0,0,41,41,0,0,0
2018-19,Madhya Pradesh,154064,122056,874,29182,1952,10102,4463,72,5509,58
2018-19,Maharashtra,109942,66033,23554,19400,955,76686,39759,19382,16806,739
2018-19,Manipur,4844,3073,587,1003,181,1331,407,38,786,100
2018-19,Meghalaya,14669,7802,4181,2220,466,1796,627,662,417,90
2018-19,Mizoram,3913,2564,231,1025,93,1825,957,175,639,54
2018-19,Nagaland,2752,2007,0,745,0,1095,596,0,499,0
2018-19,Odisha,68717,55483,5770,4957,2507,6763,6584,115,16,48
2018-19,Puducherry,739,423,33,283,0,659,388,26,245,0
2018-19,Punjab,28637,19404,458,8495,280,17985,10188,374,7200,223
2018-19,Rajasthan,105883,67607,0,35776,2500,46946,20737,0,25582,627
2018-19,Sikkim,1290,854,19,417,0,736,439,10,287,0
2018-19,Tamil Nadu,59152,37728,8355,12439,630,30056,18027,2818,8865,346
