Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with electricity facility - All management,Schools with electricity facility - Government,Schools with electricity facility - Government aided,Schools with electricity facility - Pvt. unaided,Schools with electricity facility - Others,Schools with functional electricity facility - All management,Schools with functional electricity facility - Government,Schools with functional electricity facility - Government aided,Schools with functional electricity facility - Pvt. unaided,Schools with functional electricity facility - Others
2018-19,India,1551000,1083747,84623,326228,56402,1190169,798489,69560,283855,38265,1145519,759558,68876,279948,37137
2018-19,Andaman and Nicobar Islands,414,339,2,72,1,383,308,2,72,1,382,307,2,72,1
2018-19,Andhra Pradesh,63621,45013,2346,15862,400,60322,42289,1845,15799,389,59203,42089,1828,14997,289
2018-19,Arunachal Pradesh,3793,3179,64,503,47,1710,1165,59,450,36,1510,973,58,445,34
2018-19,Assam,66324,47223,5065,6084,7952,21752,16145,813,4172,622,20003,14791,710,4084,418
2018-19,Bihar,89224,72630,698,6249,9647,70459,55790,580,5731,8358,69368,54832,571,5708,8257
2018-19,Chandigarh,229,121,7,74,27,229,121,7,74,27,229,121,7,74,27
2018-19,Chhattisgarh,56274,48671,434,6842,327,49176,41953,372,6564,287,45483,38348,367,6487,281
2018-19,Dadra and Nagar Haveli,346,300,10,35,1,346,300,10,35,1,346,300,10,35,1
2018-19,Daman and Diu,140,112,4,23,1,140,112,4,23,1,140,112,4,23,1
2018-19,Delhi,5703,2784,253,2666,0,5703,2784,253,2666,0,5703,2784,253,2666,0
2018-19,Goa,1486,833,514,139,0,1485,832,514,139,0,1485,832,514,139,0
2018-19,Gujarat,54581,35202,5734,13641,4,54539,35161,5733,13641,4,54537,35159,5733,13641,4
2018-19,Haryana,23534,14516,26,7913,1079,23279,14299,26,7880,1074,23044,14068,26,7877,1073
2018-19,Himachal Pradesh,18212,15433,0,2778,1,17555,14789,0,2765,1,17351,14589,0,2761,1
2018-19,Jammu and Kashmir,28654,23167,1,5439,47,19301,14685,1,4577,38,18722,14179,1,4505,37
2018-19,Jharkhand,45908,35954,1177,1400,7377,35657,28193,606,1204,5654,33413,26137,564,1181,5531
2018-19,Karnataka,78233,50184,7417,20604,28,69484,44551,6728,18181,24,69463,44537,6728,18174,24
2018-19,Kerala,16701,5011,7195,3156,1339,16535,4882,7185,3146,1322,16521,4875,7181,3144,1321
2018-19,Ladakh,1054,913,28,113,0,456,358,22,76,0,432,334,22,76,0
2018-19,Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
