Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility available - All management,Schools with internet facility available - Government,Schools with internet facility available - Government aided,Schools with internet facility available - Pvt. unaided,Schools with internet facility available - Others
2018-19,India,1551000,1083747,84623,326228,56402,290447,105959,32648,141619,10221
2018-19,Andaman and Nicobar Islands,414,339,2,72,1,107,65,2,40,0
2018-19,Andhra Pradesh,63621,45013,2346,15862,400,10954,3676,200,7023,55
2018-19,Arunachal Pradesh,3793,3179,64,503,47,272,110,23,131,8
2018-19,Assam,66324,47223,5065,6084,7952,3662,1995,130,1459,78
2018-19,Bihar,89224,72630,698,6249,9647,5991,1487,29,2111,2364
2018-19,Chandigarh,229,121,7,74,27,222,121,7,74,20
2018-19,Chhattisgarh,56274,48671,434,6842,327,3078,834,66,2158,20
2018-19,Dadra and Nagar Haveli,346,300,10,35,1,75,40,4,30,1
2018-19,Daman and Diu,140,112,4,23,1,102,77,3,21,1
2018-19,Delhi,5703,2784,253,2666,0,4694,2355,201,2138,0
2018-19,Goa,1486,833,514,139,0,601,85,407,109,0
2018-19,Gujarat,54581,35202,5734,13641,4,36351,21788,3907,10653,3
2018-19,Haryana,23534,14516,26,7913,1079,9705,2953,19,6163,570
2018-19,Himachal Pradesh,18212,15433,0,2778,1,3938,2059,0,1879,0
2018-19,Jammu and Kashmir,28654,23167,1,5439,47,3513,1421,0,2086,6
2018-19,Jharkhand,45908,35954,1177,1400,7377,13579,9990,171,825,2593
2018-19,Karnataka,78233,50184,7417,20604,28,9246,1104,1022,7116,4
2018-19,Kerala,16701,5011,7195,3156,1339,14633,4436,6551,2772,874
2018-19,Ladakh,1054,913,28,113,0,57,22,1,34,0
2018-19,Lakshadweep,45,45,0,0,0,38,38,0,0,0
2018-19,Madhya Pradesh,154064,122056,874,29182,1952,17386,4042,218,12844,282
2018-19,Maharashtra,109942,66033,23554,19400,955,37870,6933,14723,15579,635
2018-19,Manipur,4844,3073,587,1003,181,647,70,8,510,59
2018-19,Meghalaya,14669,7802,4181,2220,466,550,114,234,173,29
2018-19,Mizoram,3913,2564,231,1025,93,272,63,36,159,14
2018-19,Nagaland,2752,2007,0,745,0,414,61,0,353,0
2018-19,Odisha,68717,55483,5770,4957,2507,4300,4185,102,13,0
2018-19,Puducherry,739,423,33,283,0,492,198,31,263,0
2018-19,Punjab,28637,19404,458,8495,280,13303,6157,339,6608,199
2018-19,Rajasthan,105883,67607,0,35776,2500,31978,11206,0,20643,129
2018-19,Sikkim,1290,854,19,417,0,241,107,5,129,0
2018-19,Tamil Nadu,59152,37728,8355,12439,630,14083,3812,1831,8164,276
2018-19,Telangana,42355,29822,707,11621,205,7756,2127,162,5452,15
2018-19,Tripura,4945,4309,46,343,247,169,68,12,75,14
2018-19,Uttar Pradesh,273235,163142,8090,87433,14570,29751,5405,1980,20841,1525
2018-19,Uttarakhand,23559,16934,616,5519,490,3663,984,193,2370,116
2018-19,West Bengal,97828,82876,127,11777,3048,6754,5771,31,621,331
2019-20,India,1507708,1032570,84362,337499,53277,335882,119581,35583,169304,11414
2019-20,Andaman and Nicobar Islands,418,342,2,73,1,113,68,2,43,0
2019-20,Andhra Pradesh,63824,45115,2234,16173,302,14514,4104,320,10036,54
2019-20,Arunachal Pradesh,3666,3056,65,493,52,307,105,26,173,3
2019-20,Assam,65907,47157,5024,6074,7652,3836,2037,128,1607,64
2019-20,Bihar,90275,72610,721,7630,9314,7671,1492,37,3390,2752
2019-20,Chandigarh,229,121,7,74,27,223,121,7,74,21
2019-20,Chhattisgarh,56303,48547,431,7008,317,4891,1627,96,3138,30
2019-20,Dadra and Nagar Haveli,346,300,4,42,0,86,44,4,38,0
2019-20,Daman and Diu,137,109,4,23,1,102,77,3,21,1
2019-20,Delhi,5669,2767,250,2652,0,4858,2440,204,2214,0
2019-20,Goa,1482,827,517,138,0,575,70,395,110,0
2019-20,Gujarat,54629,35040,5688,13898,3,38658,23434,3873,11349,2
2019-20,Haryana,23699,14484,17,8195,1003,10172,2879,13,6698,582
2019-20,Himachal Pradesh,18185,15398,0,2786,1,4146,2153,0,1993,0
2019-20,Jammu and Kashmir,28863,23165,1,5585,112,3460,1201,0,2238,21
2019-20,Jharkhand,45596,35931,1173,1522,6970,15001,10891,194,999,2917
2019-20,Karnataka,77166,49834,7244,20069,19,19020,3862,2623,12530,5
2019-20,Kerala,16665,5014,7193,3282,1176,14638,4393,6527,2952,766
2019-20,Ladakh,1054,913,29,112,0,57,17,2,38,0
2019-20,Lakshadweep,45,45,0,0,0,42,42,0,0,0
2019-20,Madhya Pradesh,133379,99411,790,31201,1977,18805,3792,225,14499,289
2019-20,Maharashtra,110229,65886,23791,19654,898,39014,7149,15126,16115,624
2019-20,Manipur,4663,2876,585,1015,187,719,68,10,576,65
