Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2018-19,India,56402,29033,19499,1398,2865,463,821,1253,307,125,638
2018-19,Andaman and Nicobar Islands,1,1,0,0,0,0,0,0,0,0,0
2018-19,Andhra Pradesh,400,141,227,0,26,5,0,0,0,0,1
2018-19,Arunachal Pradesh,47,21,20,0,0,0,0,2,0,3,1
2018-19,Assam,7952,6578,52,524,47,69,502,5,6,68,101
2018-19,Bihar,9647,1565,7350,3,275,10,16,395,5,14,14
2018-19,Chandigarh,27,7,16,0,3,0,0,1,0,0,0
2018-19,Chhattisgarh,327,208,38,81,0,0,0,0,0,0,0
2018-19,Dadra and Nagar Haveli,1,1,0,0,0,0,0,0,0,0,0
2018-19,Daman and Diu,1,0,0,0,0,0,0,1,0,0,0
2018-19,Delhi,0,0,0,0,0,0,0,0,0,0,0
2018-19,Goa,0,0,0,0,0,0,0,0,0,0,0
2018-19,Gujarat,4,0,0,0,1,0,0,2,0,1,0
2018-19,Haryana,1079,434,590,2,32,1,0,20,0,0,0
2018-19,Himachal Pradesh,1,1,0,0,0,0,0,0,0,0,0
2018-19,Jammu and Kashmir,47,36,5,0,2,0,1,2,0,1,0
2018-19,Jharkhand,7377,2493,4195,28,501,72,31,41,2,3,11
2018-19,Karnataka,28,14,7,0,3,4,0,0,0,0,0
2018-19,Kerala,1339,569,550,6,161,1,2,45,1,1,3
2018-19,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,1952,780,1150,21,1,0,0,0,0,0,0
2018-19,Maharashtra,955,435,354,4,84,26,30,16,2,1,3
2018-19,Manipur,181,84,92,1,4,0,0,0,0,0,0
