Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools conducted medical checkups in last academic year - All management,Schools conducted medical checkups in last academic year - Government,Schools conducted medical checkups in last academic year - Government aided,Schools conducted medical checkups in last academic year - Pvt. unaided,Schools conducted medical checkups in last academic year - Others
2018-19,India,1551000,1083747,84623,326228,56402,1209683,915615,68896,201706,23466
2018-19,Andaman and Nicobar Islands,414,339,2,72,1,407,337,2,68,0
2018-19,Andhra Pradesh,63621,45013,2346,15862,400,53869,41370,2022,10337,140
2018-19,Arunachal Pradesh,3793,3179,64,503,47,1799,1426,48,300,25
2018-19,Assam,66324,47223,5065,6084,7952,48004,39717,2885,2993,2409
2018-19,Bihar,89224,72630,698,6249,9647,52682,45574,259,3137,3712
2018-19,Chandigarh,229,121,7,74,27,222,121,7,73,21
2018-19,Chhattisgarh,56274,48671,434,6842,327,54281,47659,415,5951,256
2018-19,Dadra and Nagar Haveli,346,300,10,35,1,344,300,10,33,1
2018-19,Daman and Diu,140,112,4,23,1,137,112,4,21,0
2018-19,Delhi,5703,2784,253,2666,0,4410,2289,133,1988,0
2018-19,Goa,1486,833,514,139,0,1463,830,500,133,0
2018-19,Gujarat,54581,35202,5734,13641,4,51851,34625,5514,11708,4
2018-19,Haryana,23534,14516,26,7913,1079,20492,14010,21,5783,678
2018-19,Himachal Pradesh,18212,15433,0,2778,1,16528,14394,0,2133,1
2018-19,Jammu and Kashmir,28654,23167,1,5439,47,21746,17421,1,4306,18
2018-19,Jharkhand,45908,35954,1177,1400,7377,25526,21526,698,731,2571
2018-19,Karnataka,78233,50184,7417,20604,28,65036,44962,6077,13989,8
2018-19,Kerala,16701,5011,7195,3156,1339,13596,4289,6227,2294,786
2018-19,Ladakh,1054,913,28,113,0,613,513,19,81,0
2018-19,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2018-19,Madhya Pradesh,154064,122056,874,29182,1952,120617,100938,650,18300,729
2018-19,Maharashtra,109942,66033,23554,19400,955,103075,65172,21660,15661,582
2018-19,Manipur,4844,3073,587,1003,181,3770,2442,455,759,114
2018-19,Meghalaya,14669,7802,4181,2220,466,7390,4218,2194,752,226
2018-19,Mizoram,3913,2564,231,1025,93,3200,2277,194,673,56
2018-19,Nagaland,2752,2007,0,745,0,1582,1167,0,415,0
2018-19,Odisha,68717,55483,5770,4957,2507,67756,55128,5164,4957,2507
2018-19,Puducherry,739,423,33,283,0,735,422,33,280,0
2018-19,Punjab,28637,19404,458,8495,280,25094,18982,425,5499,188
2018-19,Rajasthan,105883,67607,0,35776,2500,85619,57998,0,25783,1838
2018-19,Sikkim,1290,854,19,417,0,1168,799,15,354,0
2018-19,Tamil Nadu,59152,37728,8355,12439,630,48516,33832,7307,7119,258
2018-19,Telangana,42355,29822,707,11621,205,36787,27485,587,8613,102
2018-19,Tripura,4945,4309,46,343,247,3778,3363,37,245,133
2018-19,Uttar Pradesh,273235,163142,8090,87433,14570,180740,131045,4762,39946,4987
2018-19,Uttarakhand,23559,16934,616,5519,490,20432,16323,516,3317,276
2018-19,West Bengal,97828,82876,127,11777,3048,66373,62504,55,2974,840
2019-20,India,1507708,1032570,84362,337499,53277,1240634,920050,72801,222973,24810
