Year,State,Number of Teachers - Total,Number of Teachers - Primary (1-5),Number of Teachers - Upper Primary (1-8),Number of Teachers - Upper Primary (6-8),Number of Teachers -  Secondary (1-10),Number of Teachers - Secondary (6-10),Number of Teachers - Secondary (9-10),Number of Teachers - Higher Secondary (1-12),Number of Teachers - Higher Secondary (6-12),Number of Teachers - Higher Secondary (9-12),Number of Teachers - Higher Secondary (11-12)
2018-19,India,4947608,1958385,1094788,379645,195593,296057,83924,302010,465049,149418,22739
2018-19,Andaman and Nicobar Islands,4335,675,731,10,751,50,0,1465,495,158,0
2018-19,Andhra Pradesh,186086,76179,25645,0,6011,71907,0,1041,2030,0,3273
2018-19,Arunachal Pradesh,16566,3763,6792,430,2228,564,8,846,1027,908,0
2018-19,Assam,225216,105393,20690,19440,16479,30403,4005,5204,16243,479,6880
2018-19,Bihar,410444,131962,203045,1907,19260,420,4294,13524,794,34370,868
2018-19,Chandigarh,5105,68,304,0,2053,0,0,2625,30,25,0
2018-19,Chhattisgarh,178829,83568,761,48563,449,37,8712,2162,533,33973,71
2018-19,Dadra and Nagar Haveli,2143,379,1198,3,10,0,117,35,22,357,22
2018-19,Daman and Diu,853,247,33,215,17,0,99,0,37,200,5
2018-19,Delhi,82433,20112,46,374,707,2505,0,33418,25209,62,0
2018-19,Goa,3212,1543,301,0,0,935,7,144,143,0,139
2018-19,Gujarat,207365,26881,170021,1699,267,348,2652,1076,1549,2286,586
2018-19,Haryana,98992,37906,73,10504,49,10671,0,1216,38482,91,0
2018-19,Himachal Pradesh,67574,22735,51,6391,88,6610,0,804,30895,0,0
2018-19,Jammu and Kashmir,104184,25676,41786,678,14661,4305,352,3719,2428,10526,53
2018-19,Jharkhand,118100,41296,53850,102,12356,435,1079,2990,2727,2617,648
2018-19,Karnataka,241622,47626,131522,480,7231,5106,31013,752,1111,12740,4041
2018-19,Kerala,66549,12237,11136,485,3979,662,381,15159,16657,5754,99
2018-19,Ladakh,4497,753,2183,53,618,257,22,75,75,442,19
2018-19,Lakshadweep,1059,181,316,0,51,0,0,157,226,128,0
2018-19,Madhya Pradesh,323475,189398,107,72713,204,1300,17094,1783,738,40138,0
2018-19,Maharashtra,257939,104535,130246,33,11306,2179,936,7150,1214,50,290
2018-19,Manipur,19307,8704,3797,118,2990,981,0,765,911,832,209
2018-19,Meghalaya,23629,12883,73,8673,279,658,8,362,582,27,84
2018-19,Mizoram,12911,4481,41,5833,26,35,1891,62,50,0,492
2018-19,Nagaland,19886,6282,7095,208,2428,2071,51,138,1575,32,6
2018-19,Odisha,225473,75448,89065,4769,31878,13182,6403,1233,2174,0,1321
2018-19,Puducherry,4845,1373,531,15,638,525,0,158,1362,175,68
2018-19,Punjab,116932,39275,97,11605,470,17878,0,4119,43108,27,353
2018-19,Rajasthan,382689,61847,113675,754,37277,617,0,161792,5553,1174,0
2018-19,Sikkim,10252,2348,2293,0,2283,27,0,3218,83,0,0
2018-19,Tamil Nadu,225022,60497,48030,152,490,31931,10,2240,81630,42,0
2018-19,Telangana,141343,48102,18183,0,6899,56292,0,3841,4990,0,3036
2018-19,Tripura,38986,7955,9426,6,9500,75,0,10558,1466,0,0
2018-19,Uttar Pradesh,588074,410091,898,153116,1030,143,3680,11978,6205,925,8
2018-19,Uttarakhand,58724,24313,85,8014,103,4992,1110,1411,17760,880,56
2018-19,West Bengal,472957,261673,662,22302,527,27956,0,4790,154935,0,112
2019-20,India,4938868,1788551,1305603,257183,222672,304471,73859,332725,495390,127479,30935
2019-20,Andaman and Nicobar Islands,4505,754,742,9,793,54,0,1488,508,157,0
2019-20,Andhra Pradesh,184772,70580,24105,0,4739,73673,0,2050,3686,0,5939
2019-20,Arunachal Pradesh,16418,3645,6602,426,2225,614,25,960,981,940,0
2019-20,Assam,218676,102750,20173,18528,15887,29223,3883,5171,15711,478,6872
2019-20,Bihar,404935,130046,197210,1832,19619,407,3942,15384,806,34556,1133
2019-20,Chandigarh,5233,79,315,0,2101,0,0,2685,30,23,0
2019-20,Chhattisgarh,176689,82181,886,46804,756,45,8986,2425,535,34001,70
2019-20,Dadra and Nagar Haveli,2118,393,1164,3,10,0,114,35,23,354,22
2019-20,Daman and Diu,896,269,57,196,0,0,111,21,37,200,5
2019-20,Delhi,81807,19384,69,387,689,2353,0,33538,25334,53,0
2019-20,Goa,3193,1542,306,0,0,910,5,163,126,0,141
2019-20,Gujarat,202950,27071,165411,1737,329,309,2342,1265,1655,2322,509
2019-20,Haryana,101538,37446,105,11167,39,11259,0,1463,40055,4,0
2019-20,Himachal Pradesh,69268,22795,37,6409,89,7013,0,806,32119,0,0
2019-20,Jammu and Kashmir,102827,25004,41206,674,14249,4257,333,4149,2589,10314,52
