Year,State,Number of Teachers - Total,Number of Teachers - Primary (1-5),Number of Teachers - Upper Primary (1-8),Number of Teachers - Upper Primary (6-8),Number of Teachers -  Secondary (1-10),Number of Teachers - Secondary (6-10),Number of Teachers - Secondary (9-10),Number of Teachers - Higher Secondary (1-12),Number of Teachers - Higher Secondary (6-12),Number of Teachers - Higher Secondary (9-12),Number of Teachers - Higher Secondary (11-12)
2018-19,India,359011,120846,164213,7444,28600,4135,5078,17418,7204,836,3237
2018-19,Andaman and Nicobar Islands,4,4,0,0,0,0,0,0,0,0,0
2018-19,Andhra Pradesh,880,277,531,0,57,7,0,0,0,0,8
2018-19,Arunachal Pradesh,378,134,196,0,0,0,0,15,0,26,7
2018-19,Assam,26187,15450,498,3533,787,755,3596,74,91,287,1116
2018-19,Bihar,88466,12200,68029,23,3015,60,114,4618,51,187,169
2018-19,Chandigarh,445,98,269,0,62,0,0,16,0,0,0
2018-19,Chhattisgarh,1088,653,213,222,0,0,0,0,0,0,0
2018-19,Dadra and Nagar Haveli,9,9,0,0,0,0,0,0,0,0,0
2018-19,Daman and Diu,26,0,0,0,0,0,0,26,0,0,0
2018-19,Delhi,0,0,0,0,0,0,0,0,0,0,0
2018-19,Goa,0,0,0,0,0,0,0,0,0,0,0
2018-19,Gujarat,55,0,0,0,15,0,0,33,0,7,0
2018-19,Haryana,8908,2709,5570,14,319,6,0,290,0,0,0
2018-19,Himachal Pradesh,3,3,0,0,0,0,0,0,0,0,0
2018-19,Jammu and Kashmir,217,151,31,0,15,0,5,6,0,9,0
2018-19,Jharkhand,63765,14968,40499,164,6346,583,146,939,8,17,95
2018-19,Karnataka,73,18,38,0,6,11,0,0,0,0,0
2018-19,Kerala,13617,3722,5344,27,2739,8,15,1717,15,15,15
2018-19,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,6542,2145,4331,64,2,0,0,0,0,0,0
2018-19,Maharashtra,5970,2110,2739,9,733,98,127,112,21,5,16
2018-19,Manipur,1907,654,1177,8,68,0,0,0,0,0,0
2018-19,Meghalaya,2090,742,285,102,205,60,425,92,15,0,164
2018-19,Mizoram,585,99,208,6,0,0,184,0,0,0,88
2018-19,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2018-19,Odisha,19748,6931,9255,115,1491,375,149,244,10,0,1178
2018-19,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2018-19,Punjab,4565,380,972,0,1029,11,10,1709,0,106,348
2018-19,Rajasthan,7205,4823,1840,0,332,8,5,146,30,21,0
2018-19,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2018-19,Tamil Nadu,4614,2286,1080,2,542,6,0,698,0,0,0
2018-19,Telangana,514,230,251,0,33,0,0,0,0,0,0
2018-19,Tripura,1081,922,84,0,31,0,0,44,0,0,0
2018-19,Uttar Pradesh,69298,35486,16953,1200,9804,243,214,5051,193,142,12
2018-19,Uttarakhand,2595,1445,677,323,24,3,88,0,0,14,21
2018-19,West Bengal,28176,12197,3143,1632,945,1901,0,1588,6770,0,0
2019-20,India,325783,114454,159718,6358,24094,2282,4917,10727,383,731,2119
2019-20,Andaman and Nicobar Islands,3,3,0,0,0,0,0,0,0,0,0
2019-20,Andhra Pradesh,567,174,355,0,23,3,0,0,0,0,12
2019-20,Arunachal Pradesh,419,191,228,0,0,0,0,0,0,0,0
2019-20,Assam,24754,14929,389,3296,490,732,3435,53,91,239,1100
2019-20,Bihar,83759,11753,66705,20,1980,57,120,2744,40,179,161
2019-20,Chandigarh,452,96,274,0,65,0,0,17,0,0,0
2019-20,Chhattisgarh,1045,611,194,235,0,0,0,5,0,0,0
2019-20,Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0
2019-20,Daman and Diu,25,0,0,0,0,0,0,25,0,0,0
2019-20,Delhi,0,0,0,0,0,0,0,0,0,0,0
2019-20,Goa,0,0,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,47,0,0,0,9,0,0,38,0,0,0
2019-20,Haryana,7987,2393,5268,13,238,5,0,70,0,0,0
2019-20,Himachal Pradesh,3,3,0,0,0,0,0,0,0,0,0
2019-20,Jammu and Kashmir,707,234,328,0,113,0,5,18,0,9,0
2019-20,Jharkhand,61779,14138,41142,194,5310,489,127,248,2,21,108
2019-20,Karnataka,59,14,4,0,25,16,0,0,0,0,0
2019-20,Kerala,10307,3497,5379,24,1258,7,23,68,18,15,18
2019-20,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,6764,2199,4463,65,15,0,0,22,0,0,0
2019-20,Maharashtra,5711,2112,2549,10,679,92,127,106,23,5,8
2019-20,Manipur,1957,593,1324,6,34,0,0,0,0,0,0
2019-20,Meghalaya,2528,1015,337,119,224,72,479,76,17,0,189
2019-20,Mizoram,594,103,227,6,0,0,169,0,0,0,89
2019-20,Nagaland,6,6,0,0,0,0,0,0,0,0,0
2019-20,Odisha,10245,4487,4420,97,630,348,160,83,0,0,20
2019-20,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2019-20,Punjab,3864,491,1321,0,889,17,9,644,0,117,376
2019-20,Rajasthan,7322,4863,1959,0,266,8,4,194,9,19,0
2019-20,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2019-20,Tamil Nadu,4552,2431,1070,25,256,6,0,764,0,0,0
2019-20,Telangana,479,230,236,0,13,0,0,0,0,0,0
2019-20,Tripura,1216,1039,100,0,33,0,0,44,0,0,0
2019-20,Uttar Pradesh,75181,37723,19090,1267,11118,277,158,5298,127,113,10
2019-20,Uttarakhand,2346,1343,509,313,26,12,101,0,0,14,28
2019-20,West Bengal,11105,7783,1847,668,400,141,0,210,56,0,0
2020-21,India,313297,110484,153928,6321,23397,2169,4659,9556,414,606,1763
2020-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
2020-21,Andhra Pradesh,657,178,413,7,41,6,0,0,0,0,12
2020-21,Arunachal Pradesh,425,191,234,0,0,0,0,0,0,0,0
2020-21,Assam,23979,14448,389,3141,450,730,3294,56,91,234,1146
2020-21,Bihar,81053,11216,65094,26,1892,53,114,2308,26,180,144
2020-21,Chandigarh,336,68,201,0,50,0,0,17,0,0,0
2020-21,Chhattisgarh,1033,599,187,244,0,0,0,3,0,0,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,25,0,0,0,0,0,0,25,0,0,0
2020-21,Delhi,0,0,0,0,0,0,0,0,0,0,0
2020-21,Goa,0,0,0,0,0,0,0,0,0,0,0
2020-21,Gujarat,37,0,0,0,11,0,0,26,0,0,0
2020-21,Haryana,7183,2103,4771,13,189,5,0,102,0,0,0
2020-21,Himachal Pradesh,3,3,0,0,0,0,0,0,0,0,0
2020-21,Jammu and Kashmir,751,269,339,0,111,0,10,14,0,8,0
2020-21,Jharkhand,59110,12835,39897,185,5210,475,126,258,2,18,104
2020-21,Karnataka,55,6,4,0,25,20,0,0,0,0,0
2020-21,Kerala,8769,2958,4583,20,1052,25,15,67,18,15,16
2020-21,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,6295,2110,4084,64,15,0,0,22,0,0,0
2020-21,Maharashtra,5077,1946,2156,5,661,72,112,91,23,0,11
2020-21,Manipur,1678,553,1097,6,22,0,0,0,0,0,0
2020-21,Meghalaya,2505,991,335,115,240,73,471,76,17,0,187
2020-21,Mizoram,579,101,237,6,0,0,162,0,0,0,73
2020-21,Nagaland,6,6,0,0,0,0,0,0,0,0,0
2020-21,Odisha,10194,4451,4469,103,607,286,149,96,0,0,33
2020-21,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,95,31,60,0,4,0,0,0,0,0,0
2020-21,Rajasthan,7178,4814,1900,0,237,8,4,186,9,20,0
2020-21,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,4167,2553,991,21,234,6,0,362,0,0,0
2020-21,Telangana,437,210,222,0,5,0,0,0,0,0,0
2020-21,Tripura,1169,979,118,0,24,0,0,48,0,0,0
2020-21,Uttar Pradesh,76493,37577,19576,1272,11854,246,110,5589,149,111,9
2020-21,Uttarakhand,2510,1359,588,372,39,12,92,0,0,20,28
2020-21,West Bengal,11498,7929,1983,721,424,152,0,210,79,0,0
2021-22,India,287399,98862,139891,5630,23712,1959,4356,10346,430,546,1667
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,648,135,441,9,60,3,0,0,0,0,0
2021-22,Arunachal Pradesh,360,172,188,0,0,0,0,0,0,0,0
2021-22,Assam,18844,10569,313,2491,387,627,3062,76,89,209,1021
2021-22,Bihar,71555,9397,57762,25,1768,53,104,2140,25,152,129
2021-22,Chandigarh,297,57,175,0,49,0,0,16,0,0,0
2021-22,Chhattisgarh,930,548,150,229,0,0,0,3,0,0,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,25,0,0,0,0,0,0,25,0,0,0
2021-22,Delhi,0,0,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,30,0,0,0,8,0,0,22,0,0,0
2021-22,Haryana,6563,1872,4403,9,178,1,0,100,0,0,0
2021-22,Himachal Pradesh,5,5,0,0,0,0,0,0,0,0,0
2021-22,Jammu and Kashmir,714,230,340,0,120,0,0,14,0,10,0
2021-22,Jharkhand,51863,10439,35542,165,4834,421,99,257,2,18,86
2021-22,Karnataka,45,11,3,0,17,14,0,0,0,0,0
2021-22,Kerala,7378,2330,3853,27,1031,22,8,62,18,13,14
2021-22,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,6264,2023,4145,60,14,0,0,22,0,0,0
2021-22,Maharashtra,4032,1568,1739,1,487,33,107,74,18,0,5
2021-22,Manipur,1247,461,784,2,0,0,0,0,0,0,0
2021-22,Meghalaya,2392,939,311,104,237,69,455,76,15,0,186
2021-22,Mizoram,540,93,219,4,0,0,153,0,0,0,71
2021-22,Nagaland,6,6,0,0,0,0,0,0,0,0,0
2021-22,Odisha,8899,4026,3523,119,583,299,159,81,0,0,109
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,78,22,50,0,6,0,0,0,0,0,0
2021-22,Rajasthan,7164,4835,1879,0,230,8,3,180,8,21,0
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,3559,1925,870,14,212,0,0,533,0,0,5
2021-22,Telangana,377,185,189,0,3,0,0,0,0,0,0
2021-22,Tripura,1076,926,71,0,25,0,0,54,0,0,0
2021-22,Uttar Pradesh,78435,36679,20444,1261,13001,262,101,6399,170,109,9
2021-22,Uttarakhand,2359,1293,482,386,33,10,105,0,4,14,32
2021-22,West Bengal,11714,8116,2015,724,429,137,0,212,81,0,0
