Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2018-19,India,2818425,2129183,4947608,7869,8554,16423,4668,3577,8245,1338282,1091327,2429609,81114,53262,134376,761054,537933,1298987,138572,94808,233380,270008,194417,464425,75766,44101,119867,141092,101204,242296
2018-19,Andaman and Nicobar Islands,1754,2581,4335,10,28,38,1,12,13,562,954,1516,11,21,32,425,609,1034,144,231,375,249,363,612,42,55,97,310,308,618
2018-19,Andhra Pradesh,104709,81377,186086,0,0,0,11,6,17,50858,41861,92719,1248,1117,2365,21019,15711,36730,13337,10557,23894,14800,10074,24874,704,656,1360,2732,1395,4127
2018-19,Arunachal Pradesh,9713,6853,16566,35,19,54,91,67,158,3836,2837,6673,1162,677,1839,2351,2011,4362,334,187,521,1091,702,1793,228,86,314,585,267,852
2018-19,Assam,144456,80760,225216,54,47,101,1474,956,2430,66508,42183,108691,1451,891,2342,29521,12075,41596,18869,10989,29858,17069,7555,24624,4340,2865,7205,5170,3199,8369
2018-19,Bihar,248376,162068,410444,165,151,316,129,66,195,80394,64991,145385,13496,6277,19773,119173,79208,198381,883,223,1106,23409,7238,30647,4949,1690,6639,5778,2224,8002
2018-19,Chandigarh,1384,3721,5105,2,96,98,0,10,10,431,934,1365,42,86,128,156,380,536,459,1378,1837,84,203,287,58,147,205,152,487,639
2018-19,Chhattisgarh,113212,65617,178829,0,0,0,0,0,0,53693,30561,84254,824,466,1290,32281,15995,48276,728,379,1107,7313,5197,12510,13104,9592,22696,5269,3427,8696
2018-19,Dadra and Nagar Haveli,964,1179,2143,0,0,0,0,1,1,430,577,1007,3,2,5,295,304,599,0,0,0,156,195,351,0,0,0,80,100,180
2018-19,Daman and Diu,375,478,853,0,0,0,0,0,0,71,214,285,3,0,3,99,123,222,4,4,8,129,79,208,27,22,49,42,36,78
2018-19,Delhi,31122,51311,82433,30,2020,2050,0,0,0,7769,16696,24465,0,0,0,8656,13327,21983,0,0,0,6889,9455,16344,0,0,0,7778,9813,17591
2018-19,Goa,740,2472,3212,0,7,7,0,0,0,207,1480,1687,3,12,15,141,310,451,99,176,275,199,325,524,16,13,29,75,149,224
2018-19,Gujarat,109092,98273,207365,13,7,20,7,6,13,60579,59360,119939,18,16,34,43669,36178,79847,118,100,218,3084,1721,4805,102,59,161,1502,826,2328
2018-19,Haryana,57009,41983,98992,2,16,18,8,9,17,22788,15547,38335,24,29,53,12771,8652,21423,6262,4081,10343,2534,1909,4443,9229,8960,18189,3391,2780,6171
2018-19,Himachal Pradesh,41627,25947,67574,17,41,58,81,72,153,13181,9568,22749,37,39,76,8034,3693,11727,5377,3731,9108,4400,3048,7448,1932,959,2891,8568,4796,13364
2018-19,Jammu and Kashmir,65512,38672,104184,7,6,13,1,0,1,23398,14645,38043,1089,407,1496,25773,15463,41236,340,147,487,9931,5734,15665,65,15,80,4908,2255,7163
2018-19,Jharkhand,85124,32976,118100,18,1,19,19,9,28,45968,17886,63854,6946,1940,8886,25056,9481,34537,755,468,1223,3994,2037,6031,670,318,988,1698,836,2534
2018-19,Karnataka,126183,115439,241622,4921,3211,8132,67,36,103,43894,46120,90014,4097,4516,8613,34688,35114,69802,3723,3312,7035,24989,17303,42292,2129,1417,3546,7675,4410,12085
2018-19,Kerala,19073,47476,66549,12,89,101,3,15,18,4825,17023,21848,42,91,133,3862,9028,12890,92,158,250,5494,11525,17019,71,155,226,4672,9392,14064
2018-19,Ladakh,2439,2058,4497,0,0,0,0,0,0,525,782,1307,13,2,15,1260,954,2214,24,3,27,393,226,619,18,1,19,206,90,296
2018-19,Lakshadweep,514,545,1059,0,35,35,0,1,1,155,175,330,51,62,113,69,61,130,41,46,87,86,66,152,48,32,80,64,67,131
2018-19,Madhya Pradesh,218136,105339,323475,7,1,8,12,7,19,128501,61449,189950,3,1,4,51087,23398,74485,45,13,58,25665,14171,39836,624,276,900,12192,6023,18215
2018-19,Maharashtra,158934,99005,257939,134,125,259,152,105,257,113540,76664,190204,795,598,1393,35910,17129,53039,679,462,1141,5883,3117,9000,317,178,495,1524,627,2151
2018-19,Manipur,9488,9819,19307,5,11,16,12,17,29,5973,5981,11954,293,339,632,1012,1232,2244,278,333,611,887,1111,1998,181,94,275,847,701,1548
2018-19,Meghalaya,11270,12359,23629,23,76,99,457,718,1175,5559,6202,11761,18,32,50,4605,4612,9217,83,70,153,307,462,769,63,20,83,155,167,322
2018-19,Mizoram,7784,5127,12911,2,3,5,10,7,17,2384,2127,4511,2,2,4,3831,2072,5903,8,0,8,1297,638,1935,5,0,5,245,278,523
2018-19,Nagaland,10412,9474,19886,23,35,58,193,235,428,4468,4121,8589,226,253,479,3844,3316,7160,149,113,262,1218,1047,2265,26,22,48,265,332,597
2018-19,Odisha,128703,96770,225473,507,428,935,15,9,24,58008,45622,103630,31548,24193,55741,19584,12632,32216,4561,3945,8506,13269,9211,22480,131,53,184,1080,677,1757
2018-19,Puducherry,1847,2998,4845,1,12,13,10,11,21,530,1318,1848,13,18,31,237,262,499,461,702,1163,190,285,475,52,29,81,353,361,714
2018-19,Punjab,44722,72210,116932,0,0,0,0,0,0,14471,26298,40769,0,0,0,10510,16395,26905,0,0,0,13544,21931,35475,0,0,0,6197,7586,13783
2018-19,Rajasthan,258403,124286,382689,587,338,925,1699,844,2543,90004,50892,140896,13628,6766,20394,56989,30413,87402,35906,13145,49051,14063,5388,19451,29196,10178,39374,16331,6322,22653
2018-19,Sikkim,4787,5465,10252,11,111,122,24,56,80,2286,2640,4926,115,155,270,1004,1057,2061,156,232,388,605,614,1219,111,143,254,475,457,932
2018-19,Tamil Nadu,78427,146595,225022,0,0,0,0,0,0,21398,60990,82388,186,299,485,24849,41851,66700,8958,12946,21904,11576,16253,27829,698,678,1376,10762,13578,24340
2018-19,Telangana,77178,64165,141343,0,0,0,0,0,0,30907,26682,57589,3379,2987,6366,5195,4504,9699,29739,22156,51895,3793,4667,8460,1498,1501,2999,2667,1668,4335
2018-19,Tripura,27609,11377,38986,26,3,29,0,0,0,13421,4779,18200,7,6,13,6949,2608,9557,7,4,11,4069,1803,5872,17,5,22,3113,2169,5282
2018-19,Uttar Pradesh,300548,287526,588074,1249,1622,2871,188,288,476,203800,206411,410211,293,875,1168,86361,69024,155385,868,1075,1943,4232,5035,9267,1477,1219,2696,2080,1977,4057
2018-19,Uttarakhand,34955,23769,58724,8,15,23,4,14,18,12212,12433,24645,24,53,77,5827,3611,9438,1696,991,2687,8713,4350,13063,691,333,1024,5780,1969,7749
2018-19,West Bengal,281844,191113,472957,0,0,0,0,0,0,150748,112324,263072,24,34,58,73961,45140,119101,3389,2451,5840,34404,19379,53783,2947,2330,5277,16371,9455,25826
2019-20,India,2797440,2141428,4938868,18386,24478,42864,135261,99148,234409,1150398,955348,2105746,154595,121086,275681,654949,461511,1116460,184762,130426,315188,252729,185061,437790,111091,64052,175143,135269,100318,235587
2019-20,Andaman and Nicobar Islands,1770,2735,4505,44,106,150,4,21,25,536,980,1516,58,74,132,322,490,812,228,341,569,201,333,534,64,97,161,313,293,606
2019-20,Andhra Pradesh,103199,81573,184772,0,0,0,0,0,0,47083,39811,86894,1922,1424,3346,21616,16653,38269,13293,10565,23858,14514,10306,24820,427,476,903,4344,2338,6682
2019-20,Arunachal Pradesh,9475,6943,16418,11,3,14,99,71,170,3740,2776,6516,1301,764,2065,2046,1918,3964,376,226,602,1076,746,1822,271,144,415,555,295,850
2019-20,Assam,139513,79163,218676,31,39,70,1472,988,2460,64842,41411,106253,1995,1205,3200,27694,11435,39129,18160,10895,29055,16019,7216,23235,4109,2697,6806,5191,3277,8468
2019-20,Bihar,244094,160841,404935,0,1,1,156,75,231,80630,66499,147129,17889,8897,26786,110147,73607,183754,1024,250,1274,22884,7390,30274,5299,1789,7088,6065,2333,8398
2019-20,Chandigarh,1466,3767,5233,2,93,95,0,11,11,510,1013,1523,60,96,156,168,355,523,442,1370,1812,74,208,282,57,163,220,153,458,611
2019-20,Chhattisgarh,110993,65696,176689,1,14,15,32,32,64,52834,30595,83429,289,251,540,31492,16085,47577,272,161,433,8079,5669,13748,13086,9682,22768,4908,3207,8115
2019-20,Dadra and Nagar Haveli,941,1177,2118,0,4,4,0,3,3,408,557,965,34,44,78,263,273,536,7,6,13,146,189,335,1,1,2,82,100,182
2019-20,Daman and Diu,377,519,896,0,0,0,0,0,0,74,243,317,2,0,2,91,124,215,3,4,7,118,84,202,46,31,77,43,33,76
2019-20,Delhi,31189,50618,81807,46,2027,2073,0,0,0,7443,16017,23460,0,0,0,8946,13453,22399,0,0,0,7160,9621,16781,0,0,0,7594,9500,17094
2019-20,Goa,718,2475,3193,0,6,6,0,0,0,206,1498,1704,4,12,16,127,292,419,118,235,353,170,274,444,19,10,29,74,148,222
2019-20,Gujarat,106797,96153,202950,0,5,5,20,33,53,58286,57316,115602,555,274,829,43206,35897,79103,201,139,340,2891,1588,4479,189,81,270,1449,820,2269
2019-20,Haryana,58130,43408,101538,0,20,20,12,5,17,22721,15251,37972,34,43,77,13829,9345,23174,5762,3929,9691,2586,2137,4723,10750,10623,21373,2436,2055,4491
2019-20,Himachal Pradesh,42130,27138,69268,22,42,64,167,135,302,12984,9671,22655,31,36,67,7579,3505,11084,6629,4739,11368,4086,3019,7105,2355,1177,3532,8277,4814,13091
2019-20,Jammu and Kashmir,64538,38289,102827,0,0,0,1028,1211,2239,23880,14505,38385,8,13,21,24303,14394,38697,32,23,55,10013,5718,15731,50,28,78,5224,2397,7621
2019-20,Jharkhand,87746,35513,123259,22,5,27,103,54,157,45561,18235,63796,9902,2845,12747,21038,7963,29001,1253,881,2134,6726,3803,10529,999,538,1537,2142,1189,3331
2019-20,Karnataka,107525,102977,210502,0,3,3,17,18,35,25875,23911,49786,47183,53987,101170,5470,4714,10184,602,402,1004,24225,17838,42063,173,122,295,3980,1982,5962
2019-20,Kerala,20049,55599,75648,29,2125,2154,5,33,38,5041,19647,24688,90,240,330,3806,10377,14183,114,212,326,5740,12446,18186,109,180,289,5115,10339,15454
2019-20,Ladakh,2504,2088,4592,35,16,51,61,77,138,490,753,1243,125,51,176,1094,835,1929,62,12,74,386,243,629,35,3,38,216,98,314
2019-20,Lakshadweep,586,647,1233,0,36,36,0,1,1,164,207,371,83,85,168,69,90,159,40,58,98,104,75,179,45,29,74,81,66,147
