Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2021-22,India,1308609,2232038,3540647,5678,65015,70693,28084,83660,111744,276110,798067,1074177,145754,306791,452545,289432,399904,689336,113573,134383,247956,199605,235056,434661,95459,80626,176085,154914,128536,283450
2021-22,Andaman and Nicobar Islands,193,836,1029,4,48,52,9,55,64,49,323,372,29,81,110,24,103,127,18,65,83,14,69,83,22,46,68,24,46,70
2021-22,Andhra Pradesh,50897,71567,122464,16,316,332,343,1645,1988,6385,29704,36089,5423,10400,15823,3778,6379,10157,13337,11283,24620,8912,6744,15656,24,16,40,12679,5080,17759
2021-22,Arunachal Pradesh,2299,3604,5903,7,96,103,53,194,247,701,1664,2365,489,688,1177,555,557,1112,153,143,296,193,159,352,90,60,150,58,43,101
2021-22,Assam,38406,48176,86582,122,779,901,628,1752,2380,8794,16243,25037,6063,8379,14442,8587,8380,16967,4520,4091,8611,5831,4671,10502,826,926,1752,3035,2955,5990
2021-22,Bihar,64477,45472,109949,142,608,750,509,1070,1579,7695,11333,19028,9977,7301,17278,23653,17042,40695,4634,2333,6967,7516,2825,10341,3055,961,4016,7296,1999,9295
2021-22,Chandigarh,321,3524,3845,1,300,301,5,71,76,31,994,1025,54,403,457,26,421,447,58,512,570,33,278,311,66,309,375,47,236,283
2021-22,Chhattisgarh,24218,54500,78718,89,1736,1825,647,2757,3404,5123,21494,26617,4897,10113,15010,3832,7233,11065,2038,3071,5109,2295,2823,5118,3185,3248,6433,2112,2025,4137
2021-22,Daman and Diu and Dadra and Nagar Haveli,245,1139,1384,0,121,121,0,8,8,60,477,537,22,84,106,47,201,248,21,44,65,40,103,143,16,19,35,39,82,121
2021-22,Delhi,7427,54984,62411,40,5236,5276,0,0,0,1985,24400,26385,0,0,0,1795,11611,13406,0,0,0,1413,6637,8050,0,0,0,2194,7100,9294
2021-22,Goa,171,1770,1941,0,198,198,6,43,49,33,931,964,22,125,147,14,99,113,24,127,151,36,151,187,8,22,30,28,74,102
2021-22,Gujarat,41752,97080,138832,68,1556,1624,405,2511,2916,7865,41267,49132,3934,10941,14875,9143,21779,30922,1548,2409,3957,8109,8080,16189,3335,3106,6441,7345,5431,12776
2021-22,Haryana,34150,102675,136825,29,2098,2127,48,808,856,6240,39758,45998,2673,10337,13010,5521,14896,20417,4327,9569,13896,4302,8320,12622,6927,10603,17530,4083,6286,10369
2021-22,Himachal Pradesh,7797,25081,32878,16,919,935,65,843,908,1073,6615,7688,1079,4244,5323,1610,4257,5867,1218,3201,4419,1036,2085,3121,927,1722,2649,773,1195,1968
2021-22,Jammu and Kashmir,24841,43190,68031,240,2522,2762,1031,3330,4361,6605,15993,22598,2407,3392,5799,7400,10888,18288,1365,1018,2383,4285,4562,8847,220,168,388,1288,1317,2605
2021-22,Jharkhand,15809,18613,34422,7,411,418,29,419,448,1514,5285,6799,1608,2466,4074,2176,2712,4888,2517,2114,4631,3393,2568,5961,1556,851,2407,3009,1787,4796
2021-22,Karnataka,51780,137732,189512,39,2752,2791,161,1905,2066,7335,47044,54379,8026,26677,34703,5409,18942,24351,2392,6030,8422,13881,21273,35154,312,689,1001,14225,12420,26645
2021-22,Kerala,6676,61285,67961,29,2126,2155,12,201,213,1172,20156,21328,353,2984,3337,1539,14916,16455,456,2600,3056,1846,11674,13520,230,1226,1456,1039,5402,6441
2021-22,Ladakh,535,1058,1593,4,103,107,17,58,75,103,382,485,74,77,151,176,277,453,43,34,77,95,104,199,5,5,10,18,18,36
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,113491,172927,286418,392,3936,4328,1420,5337,6757,20339,47961,68300,15030,24555,39585,46725,59839,106564,5023,7170,12193,10610,11118,21728,6576,6744,13320,7376,6267,13643
2021-22,Maharashtra,53557,161743,215300,71,2537,2608,284,1971,2255,12914,70264,83178,5207,15846,21053,7075,22313,29388,4721,9963,14684,11562,25049,36611,1891,3043,4934,9832,10757,20589
2021-22,Manipur,8869,11915,20784,19,298,317,94,786,880,1086,3797,4883,1606,1988,3594,1717,1675,3392,1417,1069,2486,1634,983,2617,406,362,768,890,957,1847
2021-22,Meghalaya,3637,8572,12209,15,165,180,181,680,861,1106,3460,4566,258,597,855,416,885,1301,161,323,484,1037,1521,2558,75,145,220,388,796,1184
2021-22,Mizoram,3289,4086,7375,8,87,95,33,95,128,815,1752,2567,337,381,718,851,977,1828,1,5,6,762,417,1179,0,0,0,482,372,854
2021-22,Nagaland,4343,7996,12339,10,252,262,56,233,289,890,2664,3554,561,1009,1570,1057,1573,2630,427,532,959,905,935,1840,149,251,400,288,547,835
2021-22,Odisha,30743,48129,78872,26,416,442,103,511,614,6177,18601,24778,8288,14412,22700,4643,5669,10312,2451,2987,5438,2948,2072,5020,430,315,745,5677,3146,8823
2021-22,Puducherry,1364,5398,6762,1,295,296,2,130,132,92,1981,2073,156,776,932,111,527,638,203,545,748,215,401,616,230,353,583,354,390,744
2021-22,Punjab,18232,112397,130629,74,5097,5171,192,4527,4719,1866,32361,34227,766,5733,6499,3462,23048,26510,887,4036,4923,5231,21474,26705,1039,3152,4191,4715,12969,17684
2021-22,Rajasthan,173674,152816,326490,476,5445,5921,3370,8468,11838,23523,43073,66596,24508,27222,51730,34813,27146,61959,27997,16025,44022,18251,9160,27411,26685,11103,37788,14051,5174,19225
2021-22,Sikkim,948,2575,3523,19,151,170,26,138,164,433,1540,1973,55,131,186,202,409,611,65,51,116,79,88,167,31,22,53,38,45,83
2021-22,Tamil Nadu,39381,218844,258225,145,7823,7968,135,4219,4354,3742,81390,85132,8178,47674,55852,2238,17545,19783,3901,12806,16707,6756,25798,32554,6362,10594,16956,7924,10995,18919
2021-22,Telangana,50757,126128,176885,183,5122,5305,943,6487,7430,5184,42439,47623,7640,24513,32153,5051,14818,19869,8300,11738,20038,12853,15728,28581,134,264,398,10469,5019,15488
2021-22,Tripura,3055,3136,6191,22,97,119,133,244,377,1076,1362,2438,396,396,792,480,375,855,365,241,606,281,184,465,169,147,316,133,90,223
2021-22,Uttar Pradesh,377702,326247,703949,248,4322,4570,1197,4329,5526,126877,137447,264324,20801,32828,53629,95640,71669,167309,15809,13225,29034,60137,32497,92634,26487,14880,41367,30506,15050,45556
2021-22,Uttarakhand,16553,39776,56329,26,1026,1052,178,1132,1310,4517,17574,22091,1950,5517,7467,3498,6837,10335,1171,2010,3181,1574,2192,3766,2012,2073,4085,1627,1415,3042
