Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (11-12) - Boys,Primary to Higher Secondary (11-12) - Girls,Primary to Higher Secondary (11-12) - Total
2018-19,India,17.66,18.14,17.89,16.06,17.27,16.65,17.11,17.83,17.46,14.59,16.37,15.44,12.5,13.89,13.17,16.25,17.2,16.71
2018-19,Andaman and Nicobar Islands,26.04,26.28,26.16,24.45,25.16,24.8,25.44,25.85,25.64,20.93,23.11,22.02,20.88,21.58,21.24,24.1,24.8,24.44
2018-19,Andhra Pradesh,8.97,9.21,9.09,8.6,8.75,8.67,8.84,9.04,8.93,8.05,7.94,7.99,7.4,7.12,7.26,8.56,8.64,8.6
2018-19,Arunachal Pradesh,39.18,40.15,39.66,38.43,39.39,38.92,38.93,39.88,39.41,38.11,40.48,39.3,40.92,40.77,40.84,38.96,40.04,39.5
2018-19,Assam,44.22,44.46,44.34,39.24,42.99,41.18,42.6,43.95,43.28,31.09,35.63,33.49,25.52,25.35,25.43,39.96,41.62,40.8
2018-19,Bihar,13.25,14.27,13.75,11.16,13.06,12.13,12.57,13.85,13.21,9.42,10.86,10.15,8.14,9.24,8.66,11.89,13.2,12.54
2018-19,Chandigarh,14.39,14.21,14.3,14.94,15.19,15.05,14.62,14.6,14.61,16.27,15.66,15.99,18.03,17.94,17.99,15.49,15.33,15.42
2018-19,Chhattisgarh,3.82,3.7,3.76,3.66,3.59,3.62,3.76,3.66,3.71,3.42,3.55,3.49,3.62,4.14,3.89,3.69,3.69,3.69
2018-19,Dadra and Nagar Haveli,4.9,4.69,4.8,4.59,4.8,4.69,4.8,4.72,4.76,4.45,3.77,4.14,3.87,3.42,3.65,4.66,4.44,4.56
2018-19,Daman and Diu,13.07,10.72,11.98,12.44,10.73,11.65,12.85,10.72,11.86,10.46,9.03,9.78,8.82,7.95,8.38,12.13,10.17,11.2
2018-19,Delhi,16.76,18.36,17.51,17.0,19.3,18.08,16.86,18.72,17.73,15.85,18.35,17.04,13.02,15.86,14.4,16.24,18.31,17.22
2018-19,Goa,27.36,28.33,27.83,29.1,30.78,29.91,28.0,29.23,28.59,28.9,31.06,29.92,24.27,26.33,25.32,27.67,29.12,28.38
2018-19,Gujarat,8.44,8.92,8.67,8.08,8.5,8.27,8.3,8.76,8.52,7.38,7.86,7.58,5.77,6.92,6.29,7.92,8.47,8.18
2018-19,Haryana,11.02,11.02,11.02,9.45,9.18,9.33,10.44,10.35,10.4,6.94,5.46,6.29,5.5,4.53,5.07,9.3,8.89,9.12
2018-19,Himachal Pradesh,3.24,3.11,3.18,3.52,3.46,3.49,3.34,3.24,3.29,3.1,2.9,3.0,2.4,2.48,2.44,3.16,3.06,3.12
2018-19,Jammu and Kashmir,63.38,65.28,64.29,60.75,63.13,61.88,62.47,64.54,63.46,59.36,60.9,60.08,60.39,61.35,60.84,61.79,63.69,62.69
2018-19,Jharkhand,13.0,13.68,13.33,11.96,13.62,12.79,12.66,13.66,13.15,8.79,10.64,9.72,6.59,8.58,7.57,11.69,12.85,12.26
2018-19,Karnataka,17.6,17.95,17.77,17.63,18.25,17.93,17.61,18.06,17.83,16.57,17.92,17.21,2.4,2.59,2.5,16.25,16.58,16.41
2018-19,Kerala,45.66,45.87,45.76,44.95,45.33,45.14,45.39,45.67,45.53,44.73,45.06,44.89,36.55,37.45,37.02,44.05,44.31,44.18
2018-19,Ladakh,87.82,88.24,88.03,85.55,86.82,86.19,87.06,87.75,87.4,80.5,83.9,82.29,75.57,80.67,78.35,84.99,86.36,85.69
2018-19,Lakshadweep,99.6,99.58,99.59,99.25,99.54,99.4,99.48,99.56,99.52,99.63,99.42,99.53,100.0,99.64,99.82,99.61,99.55,99.58
2018-19,Madhya Pradesh,5.39,5.6,5.49,4.81,5.38,5.08,5.18,5.52,5.34,3.94,4.62,4.25,3.8,5.02,4.37,4.85,5.33,5.08
2018-19,Maharashtra,17.29,18.48,17.85,16.78,17.96,17.33,17.1,18.29,17.66,15.4,16.81,16.05,12.32,14.06,13.12,16.19,17.51,16.8
2018-19,Manipur,52.35,52.26,52.31,44.79,44.58,44.69,49.97,49.81,49.89,44.0,43.57,43.79,36.71,37.56,37.12,47.85,47.76,47.81
2018-19,Meghalaya,74.82,75.13,74.97,75.67,76.66,76.19,75.07,75.62,75.35,75.51,76.3,75.94,76.89,77.46,77.2,75.23,75.83,75.54
2018-19,Mizoram,90.22,90.13,90.18,91.23,90.56,90.91,90.55,90.27,90.42,97.89,98.02,97.96,96.15,96.26,96.21,92.15,92.04,92.09
2018-19,Nagaland,79.13,80.12,79.61,81.11,82.08,81.59,79.81,80.81,80.3,81.53,83.08,82.32,85.59,86.02,85.81,80.55,81.63,81.08
2018-19,Odisha,4.74,4.72,4.73,4.21,4.42,4.31,4.54,4.61,4.57,3.93,4.33,4.12,0.08,0.06,0.07,3.89,3.92,3.9
2018-19,Puducherry,12.86,13.37,13.11,12.38,13.11,12.73,12.68,13.27,12.97,10.99,12.16,11.57,9.69,11.93,10.87,11.99,12.88,12.42
2018-19,Punjab,57.44,56.86,57.17,60.0,59.19,59.63,58.4,57.72,58.09,62.3,61.27,61.84,63.44,61.72,62.67,59.73,58.84,59.33
2018-19,Rajasthan,10.75,10.57,10.66,8.81,8.61,8.72,10.09,9.93,10.02,7.31,6.95,7.15,6.13,6.01,6.08,9.19,9.08,9.14
2018-19,Sikkim,36.99,35.21,36.15,34.46,36.49,35.47,35.98,35.76,35.87,35.21,39.0,37.2,37.06,39.62,38.49,35.95,37.01,36.48
2018-19,Tamil Nadu,12.0,12.28,12.13,11.66,12.04,11.84,11.87,12.19,12.02,12.14,12.51,12.32,12.34,12.25,12.29,11.98,12.25,12.11
2018-19,Telangana,16.95,17.4,17.17,15.9,16.84,16.36,16.58,17.2,16.88,14.74,15.85,15.28,9.62,9.89,9.76,15.54,16.09,15.81
2018-19,Tripura,16.3,15.6,15.95,14.12,15.06,14.58,15.49,15.4,15.44,12.4,15.09,13.76,10.65,9.89,10.28,14.56,14.91,14.73
2018-19,Uttar Pradesh,15.83,15.85,15.84,12.61,13.23,12.91,14.81,15.01,14.91,10.97,12.12,11.49,9.5,11.45,10.4,13.69,14.27,13.97
2018-19,Uttarakhand,17.98,18.12,18.04,13.22,14.2,13.69,16.29,16.7,16.48,9.71,10.84,10.24,7.48,9.05,8.25,14.15,14.74,14.43
2018-19,West Bengal,33.15,33.69,33.42,30.74,34.34,32.57,32.35,33.92,33.13,25.13,32.44,29.13,20.57,27.02,24.01,30.06,32.89,31.5
2019-20,India,18.55,19.02,18.78,16.97,18.19,17.56,18.01,18.73,18.36,15.34,17.3,16.28,13.63,15.26,14.42,17.15,18.15,17.63
2019-20,Andaman and Nicobar Islands,29.01,29.54,29.27,29.85,29.68,29.77,29.33,29.59,29.46,26.41,28.98,27.67,26.14,28.1,27.21,28.45,29.3,28.87
2019-20,Andhra Pradesh,9.01,9.16,9.08,8.67,8.83,8.75,8.89,9.04,8.96,8.16,8.06,8.11,7.43,7.24,7.33,8.62,8.66,8.64
2019-20,Arunachal Pradesh,40.56,40.41,40.49,39.49,40.69,40.1,40.21,40.51,40.36,38.22,38.89,38.57,35.63,36.15,35.91,39.65,39.96,39.8
2019-20,Assam,45.93,46.04,45.99,41.8,45.44,43.68,44.56,45.83,45.2,33.1,38.28,35.87,27.17,27.56,27.37,41.95,43.62,42.79
2019-20,Bihar,15.04,16.14,15.58,12.81,14.98,13.91,14.3,15.74,15.02,10.59,12.76,11.68,9.79,11.07,10.4,13.51,15.04,14.27
2019-20,Chandigarh,14.68,14.34,14.52,15.2,15.25,15.22,14.9,14.71,14.81,16.06,16.05,16.05,16.51,17.96,17.18,15.36,15.46,15.41
2019-20,Chhattisgarh,2.94,2.83,2.88,2.82,2.75,2.79,2.9,2.8,2.85,2.51,2.6,2.55,2.66,2.91,2.79,2.81,2.78,2.79
2019-20,Dadra and Nagar Haveli,4.61,4.64,4.62,4.49,4.78,4.62,4.57,4.68,4.62,3.66,3.34,3.5,3.96,3.44,3.7,4.36,4.33,4.35
2019-20,Daman and Diu,12.92,10.7,11.88,13.81,12.52,13.2,13.23,11.34,12.35,10.48,9.43,9.98,7.65,6.93,7.27,12.31,10.56,11.48
2019-20,Delhi,17.55,19.01,18.23,17.17,19.43,18.23,17.41,19.17,18.23,15.88,18.44,17.09,13.35,16.2,14.75,16.67,18.67,17.62
2019-20,Goa,27.97,28.86,28.4,30.21,31.51,30.84,28.79,29.83,29.29,29.54,30.97,30.22,29.79,30.52,30.16,29.05,30.12,29.57
2019-20,Gujarat,9.53,10.07,9.78,9.13,9.72,9.4,9.38,9.94,9.65,8.0,8.28,8.12,6.36,7.1,6.7,8.87,9.44,9.14
2019-20,Haryana,12.2,12.13,12.17,10.31,9.77,10.07,11.52,11.28,11.41,8.22,6.61,7.51,6.57,5.39,6.03,10.39,9.81,10.13
2019-20,Himachal Pradesh,3.39,3.27,3.33,3.53,3.52,3.53,3.44,3.36,3.41,3.28,3.09,3.19,2.48,2.46,2.47,3.27,3.18,3.23
2019-20,Jammu and Kashmir,63.86,65.83,64.8,61.29,63.6,62.39,62.98,65.06,63.98,59.71,61.49,60.54,60.4,61.22,60.79,62.24,64.18,63.16
2019-20,Jharkhand,16.06,16.75,16.39,15.08,16.64,15.87,15.74,16.71,16.22,12.94,15.28,14.12,12.0,14.19,13.07,15.06,16.3,15.67
2019-20,Karnataka,17.95,18.31,18.12,17.41,17.98,17.69,17.75,18.19,17.96,16.53,17.79,17.14,9.23,10.59,9.94,16.78,17.32,17.04
2019-20,Kerala,48.5,48.69,48.59,47.93,48.25,48.09,48.28,48.52,48.4,47.47,47.72,47.59,41.09,42.39,41.76,47.12,47.44,47.27
2019-20,Ladakh,92.79,92.89,92.84,92.9,93.39,93.15,92.82,93.06,92.94,90.52,90.53,90.53,93.02,91.98,92.44,92.5,92.54,92.52
2019-20,Lakshadweep,99.52,99.51,99.51,99.36,99.61,99.48,99.47,99.54,99.5,99.28,99.47,99.38,99.58,100.0,99.8,99.46,99.61,99.54
2019-20,Madhya Pradesh,5.38,5.55,5.46,4.83,5.27,5.04,5.18,5.45,5.31,3.78,4.56,4.14,3.53,4.72,4.1,4.81,5.25,5.02
2019-20,Maharashtra,17.83,18.88,18.33,17.2,18.31,17.72,17.6,18.67,18.1,15.97,17.28,16.57,12.52,14.19,13.3,16.68,17.88,17.24
2019-20,Manipur,52.09,52.28,52.18,46.01,46.05,46.03,50.17,50.28,50.22,43.83,43.69,43.76,38.55,40.52,39.52,48.12,48.36,48.24
2019-20,Meghalaya,82.17,82.42,82.29,81.6,82.17,81.9,82.0,82.34,82.17,80.64,82.2,81.49,79.91,81.99,81.04,81.72,82.3,82.02
2019-20,Mizoram,97.05,96.92,96.99,96.24,96.64,96.44,96.78,96.83,96.8,97.05,96.95,97.0,96.61,96.55,96.58,96.81,96.82,96.81
2019-20,Nagaland,82.54,83.02,82.78,82.06,82.62,82.34,82.38,82.88,82.63,83.0,84.3,83.66,87.35,86.59,86.97,82.89,83.43,83.16
2019-20,Odisha,4.98,5.01,5.0,4.55,4.77,4.66,4.82,4.92,4.87,4.31,4.71,4.51,4.64,5.11,4.87,4.72,4.91,4.81
2019-20,Puducherry,11.87,13.44,12.63,11.67,13.12,12.37,11.79,13.32,12.53,10.93,12.6,11.75,10.45,12.41,11.48,11.46,13.06,12.25
2019-20,Punjab,56.71,56.06,56.41,57.12,55.94,56.58,56.87,56.01,56.48,57.63,54.49,56.19,62.9,61.68,62.34,57.78,56.48,57.18
2019-20,Rajasthan,11.14,10.95,11.05,9.24,9.02,9.14,10.5,10.32,10.42,7.77,7.34,7.58,6.42,6.35,6.39,9.6,9.46,9.53
2019-20,Sikkim,37.05,34.94,36.06,35.26,37.36,36.3,36.35,35.94,36.16,35.47,36.79,36.16,34.61,35.55,35.12,35.98,36.08,36.03
2019-20,Tamil Nadu,12.66,12.96,12.8,12.44,12.81,12.62,12.58,12.91,12.74,12.49,12.77,12.63,12.82,12.61,12.71,12.59,12.84,12.71
2019-20,Telangana,17.04,17.41,17.22,16.47,17.38,16.91,16.84,17.4,17.11,15.51,16.5,15.99,11.13,11.02,11.07,16.03,16.49,16.26
2019-20,Tripura,16.54,15.97,16.26,15.22,15.75,15.48,16.05,15.89,15.97,13.49,15.58,14.54,10.88,10.61,10.75,15.17,15.39,15.28
2019-20,Uttar Pradesh,17.58,17.62,17.6,14.17,14.84,14.49,16.51,16.73,16.62,12.11,13.47,12.73,10.38,12.45,11.32,15.25,15.9,15.56
2019-20,Uttarakhand,18.51,18.7,18.6,13.39,14.17,13.76,16.69,17.07,16.87,10.04,11.12,10.55,7.95,9.38,8.66,14.51,15.06,14.77
2019-20,West Bengal,31.49,32.11,31.79,30.98,34.5,32.76,31.32,32.93,32.12,25.89,33.4,29.98,20.88,27.57,24.47,29.41,32.4,30.93
2020-21,India,18.75,19.26,19.0,17.39,18.55,17.95,18.28,19.01,18.63,15.59,17.58,16.54,14.26,15.89,15.05,17.44,18.46,17.93
2020-21,Andaman and Nicobar Islands,30.77,30.89,30.83,29.22,30.23,29.72,30.16,30.63,30.39,28.61,30.34,29.44,25.59,30.54,28.24,29.31,30.56,29.93
2020-21,Andhra Pradesh,9.31,9.48,9.39,8.88,9.12,9.0,9.16,9.35,9.25,8.26,8.34,8.3,8.01,7.78,7.89,8.89,9.0,8.94
2020-21,Arunachal Pradesh,41.22,41.38,41.3,41.91,42.2,42.06,41.45,41.66,41.56,41.41,41.76,41.59,40.25,42.66,41.51,41.35,41.76,41.56
2020-21,Assam,46.79,46.81,46.8,42.55,45.96,44.32,45.37,46.51,45.94,33.71,38.63,36.33,27.39,27.62,27.51,42.67,44.16,43.43
2020-21,Bihar,14.96,15.93,15.43,13.24,15.21,14.24,14.4,15.68,15.03,10.76,12.75,11.76,9.73,10.73,10.22,13.58,14.93,14.24
2020-21,Chandigarh,14.63,14.59,14.61,15.14,15.28,15.21,14.84,14.87,14.86,15.8,15.93,15.86,17.12,17.79,17.43,15.4,15.56,15.47
2020-21,Chhattisgarh,2.73,2.67,2.7,2.78,2.66,2.72,2.75,2.67,2.71,2.46,2.45,2.46,2.58,2.71,2.65,2.69,2.64,2.66
2020-21,Daman and Diu and Dadra and Nagar Haveli,6.61,6.64,6.62,6.36,6.13,6.25,6.52,6.45,6.48,6.61,6.01,6.33,4.73,4.74,4.73,6.37,6.21,6.29
2020-21,Delhi,17.74,19.29,18.47,17.56,19.46,18.45,17.67,19.36,18.46,16.29,18.8,17.47,13.67,16.77,15.19,16.9,18.9,17.85
2020-21,Goa,27.0,28.64,27.8,29.38,30.88,30.1,27.89,29.47,28.66,28.57,30.32,29.38,26.08,28.05,27.07,27.78,29.41,28.57
2020-21,Gujarat,9.94,10.38,10.15,9.72,10.05,9.88,9.86,10.26,10.05,8.43,8.67,8.54,6.85,7.8,7.29,9.35,9.8,9.56
2020-21,Haryana,12.32,12.43,12.37,10.2,9.9,10.07,11.54,11.51,11.53,8.51,7.29,7.97,6.7,5.45,6.12,10.43,10.03,10.25
2020-21,Himachal Pradesh,2.92,2.79,2.86,3.06,3.04,3.05,2.97,2.88,2.93,3.0,2.88,2.94,2.19,2.19,2.19,2.86,2.77,2.82
2020-21,Jammu and Kashmir,63.6,65.71,64.61,61.07,63.43,62.2,62.72,64.93,63.78,60.16,62.8,61.39,60.67,61.99,61.28,62.08,64.27,63.12
