Year,State,Percentage of schools having drinking water facility within school premises
2018-19,India,95.16
2018-19,Andaman and Nicobar Islands,100.0
2018-19,Andhra Pradesh,99.79
2018-19,Arunachal Pradesh,92.19
2018-19,Assam,83.06
2018-19,Bihar,99.71
2018-19,Chandigarh,100.0
2018-19,Chhattisgarh,99.31
2018-19,Dadra and Nagar Haveli,100.0
2018-19,Daman and Diu,100.0
2018-19,Delhi,100.0
2018-19,Goa,100.0
2018-19,Gujarat,100.0
2018-19,Haryana,100.0
2018-19,Himachal Pradesh,0.0
2018-19,Jammu and Kashmir,100.0
2018-19,Jharkhand,96.01
2018-19,Karnataka,99.65
2018-19,Kerala,99.85
2018-19,Ladakh,82.14
2018-19,Lakshadweep,0.0
2018-19,Madhya Pradesh,88.56
2018-19,Maharashtra,99.73
2018-19,Manipur,89.78
2018-19,Meghalaya,44.94
2018-19,Mizoram,96.97
2018-19,Nagaland,0.0
2018-19,Odisha,100.0
2018-19,Puducherry,100.0
2018-19,Punjab,99.13
2018-19,Rajasthan,0.0
2018-19,Sikkim,100.0
2018-19,Tamil Nadu,96.65
2018-19,Telangana,93.78
2018-19,Tripura,91.3
2018-19,Uttar Pradesh,97.08
2018-19,Uttarakhand,95.29
2018-19,West Bengal,99.21
2019-20,India,96.23
2019-20,Andaman and Nicobar Islands,100.0
2019-20,Andhra Pradesh,97.4
2019-20,Arunachal Pradesh,98.46
2019-20,Assam,85.55
2019-20,Bihar,99.72
2019-20,Chandigarh,100.0
2019-20,Chhattisgarh,99.54
2019-20,Dadra and Nagar Haveli,100.0
2019-20,Daman and Diu,100.0
2019-20,Delhi,100.0
2019-20,Goa,100.0
2019-20,Gujarat,100.0
2019-20,Haryana,100.0
2019-20,Himachal Pradesh,0.0
2019-20,Jammu and Kashmir,100.0
2019-20,Jharkhand,97.87
2019-20,Karnataka,99.96
2019-20,Kerala,99.93
2019-20,Ladakh,82.76
2019-20,Lakshadweep,0.0
2019-20,Madhya Pradesh,94.43
2019-20,Maharashtra,99.88
2019-20,Manipur,91.11
2019-20,Meghalaya,49.64
2019-20,Mizoram,99.13
2019-20,Nagaland,0.0
2019-20,Odisha,100.0
2019-20,Puducherry,100.0
2019-20,Punjab,100.0
2019-20,Rajasthan,0.0
2019-20,Sikkim,100.0
2019-20,Tamil Nadu,100.0
2019-20,Telangana,99.72
2019-20,Tripura,91.11
2019-20,Uttar Pradesh,98.81
2019-20,Uttarakhand,96.76
2019-20,West Bengal,97.85
2020-21,India,96.46
2020-21,Andaman and Nicobar Islands,100.0
2020-21,Andhra Pradesh,97.12
2020-21,Arunachal Pradesh,97.01
2020-21,Assam,87.68
2020-21,Bihar,99.73
2020-21,Chandigarh,100.0
2020-21,Chhattisgarh,99.77
2020-21,Daman and Diu and Dadra and Nagar Haveli,100.0
2020-21,Delhi,100.0
2020-21,Goa,100.0
2020-21,Gujarat,100.0
2020-21,Haryana,100.0
2020-21,Himachal Pradesh,0.0
2020-21,Jammu and Kashmir,100.0
2020-21,Jharkhand,98.47
2020-21,Karnataka,99.96
2020-21,Kerala,99.92
2020-21,Ladakh,100.0
2020-21,Lakshadweep,0.0
2020-21,Madhya Pradesh,95.34
2020-21,Maharashtra,99.94
2020-21,Manipur,93.68
2020-21,Meghalaya,51.96
2020-21,Mizoram,99.57
2020-21,Nagaland,0.0
2020-21,Odisha,98.34
2020-21,Puducherry,100.0
2020-21,Punjab,100.0
2020-21,Rajasthan,0.0
2020-21,Sikkim,100.0
2020-21,Tamil Nadu,100.0
2020-21,Telangana,100.0
2020-21,Tripura,95.35
2020-21,Uttar Pradesh,99.14
2020-21,Uttarakhand,97.56
2020-21,West Bengal,98.85
2021-22,India,97.0
2021-22,Andaman and Nicobar Islands,100.0
2021-22,Andhra Pradesh,99.9
2021-22,Arunachal Pradesh,98.5
2021-22,Assam,87.8
2021-22,Bihar,99.3
2021-22,Chandigarh,100.0
2021-22,Chhattisgarh,100.0
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0
2021-22,Delhi,100.0
2021-22,Goa,100.0
2021-22,Gujarat,100.0
2021-22,Haryana,100.0
2021-22,Himachal Pradesh,0.0
2021-22,Jammu and Kashmir,100.0
2021-22,Jharkhand,98.6
2021-22,Karnataka,100.0
2021-22,Kerala,100.0
2021-22,Ladakh,100.0
2021-22,Lakshadweep,0.0
2021-22,Madhya Pradesh,96.6
2021-22,Maharashtra,100.0
2021-22,Manipur,97.3
2021-22,Meghalaya,59.1
2021-22,Mizoram,98.7
2021-22,Nagaland,0.0
2021-22,Odisha,98.6
2021-22,Puducherry,100.0
2021-22,Punjab,100.0
2021-22,Rajasthan,0.0
2021-22,Sikkim,100.0
2021-22,Tamil Nadu,100.0
2021-22,Telangana,93.0
2021-22,Tripura,93.0
2021-22,Uttar Pradesh,99.4
2021-22,Uttarakhand,97.9
2021-22,West Bengal,100.0
