Year,State,Percentage of Schools with hand wash facility - All management,Percentage of Schools with hand wash facility - Government,Percentage of Schools with hand wash facility - Government aided,Percentage of Schools with hand wash facility - Pvt. unaided,Percentage of Schools with hand wash facility - Others
2018-19,India,88.18,88.56,87.14,89.06,77.4
2018-19,Andaman and Nicobar Islands,98.31,97.94,100.0,100.0,100.0
2018-19,Andhra Pradesh,81.68,82.58,77.41,79.96,73.0
2018-19,Arunachal Pradesh,28.0,19.35,70.31,74.35,59.57
2018-19,Assam,78.92,90.1,53.13,76.07,31.1
2018-19,Bihar,81.32,80.06,75.79,90.16,85.44
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,92.8,91.91,96.77,98.83,94.8
2018-19,Dadra and Nagar Haveli,99.71,99.67,100.0,100.0,100.0
2018-19,Daman and Diu,98.57,99.11,100.0,95.65,100.0
2018-19,Delhi,99.96,99.96,100.0,99.96,0.0
2018-19,Goa,99.93,100.0,100.0,99.28,0.0
2018-19,Gujarat,93.36,95.42,84.34,91.83,75.0
2018-19,Haryana,98.41,98.56,96.15,98.23,97.68
2018-19,Himachal Pradesh,98.77,98.64,0.0,99.5,100.0
2018-19,Jammu and Kashmir,93.65,93.3,100.0,95.2,87.23
2018-19,Jharkhand,82.38,81.52,78.5,88.71,85.97
2018-19,Karnataka,94.28,94.36,95.81,93.52,85.71
2018-19,Kerala,97.35,96.61,97.87,97.53,96.86
2018-19,Ladakh,46.2,42.06,75.0,72.57,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,85.56,83.93,88.79,91.86,92.21
2018-19,Maharashtra,96.64,95.57,98.11,98.44,98.53
2018-19,Manipur,79.77,79.66,82.96,80.96,64.64
2018-19,Meghalaya,27.4,27.75,29.2,22.03,31.12
2018-19,Mizoram,68.39,74.61,41.13,60.29,53.76
2018-19,Nagaland,45.64,40.26,0.0,60.13,0.0
2018-19,Odisha,100.0,100.0,100.0,100.0,100.0
2018-19,Puducherry,98.92,98.11,100.0,100.0,0.0
2018-19,Punjab,99.0,98.88,98.69,99.28,99.64
2018-19,Rajasthan,94.05,92.86,0.0,96.88,85.72
2018-19,Sikkim,94.65,93.91,84.21,96.64,0.0
2018-19,Tamil Nadu,93.56,94.14,88.79,95.14,91.11
2018-19,Telangana,84.97,83.52,80.48,89.1,76.59
2018-19,Tripura,79.53,78.74,93.48,86.59,80.97
2018-19,Uttar Pradesh,83.34,83.97,84.44,82.37,81.57
2018-19,Uttarakhand,92.47,91.91,92.69,93.71,97.35
2018-19,West Bengal,90.69,93.52,82.68,75.32,73.56
2019-20,India,90.24,90.55,88.82,91.28,79.83
2019-20,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0
2019-20,Andhra Pradesh,84.4,84.01,82.81,85.99,69.54
2019-20,Arunachal Pradesh,38.57,29.61,89.23,84.38,67.31
2019-20,Assam,81.68,92.26,57.6,79.72,33.81
2019-20,Bihar,84.58,83.18,77.95,93.54,88.64
2019-20,Chandigarh,100.0,100.0,100.0,100.0,100.0
2019-20,Chhattisgarh,95.95,95.46,96.98,99.2,97.79
2019-20,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,0.0
2019-20,Daman and Diu,99.27,100.0,100.0,95.65,100.0
2019-20,Delhi,99.89,99.78,100.0,100.0,0.0
2019-20,Goa,100.0,100.0,100.0,100.0,0.0
2019-20,Gujarat,94.93,97.02,85.97,93.33,100.0
2019-20,Haryana,99.21,99.3,100.0,99.08,98.9
2019-20,Himachal Pradesh,99.02,98.89,0.0,99.71,100.0
2019-20,Jammu and Kashmir,93.84,93.19,100.0,96.53,94.64
2019-20,Jharkhand,86.65,86.12,81.33,91.26,89.23
2019-20,Karnataka,81.9,78.48,87.31,88.45,84.21
