Year,State,Percentage of Schools with toilet facility - All management,Percentage of Schools with toilet facility - Government,Percentage of Schools with toilet facility - Government aided,Percentage of Schools with toilet facility - Pvt. unaided,Percentage of Schools with toilet facility - Others,Percentage of Schools with functional toilet facility - All management,Percentage of Schools with functional toilet facility - Government,Percentage of Schools with functional toilet facility - Government aided,Percentage of Schools with functional toilet facility - Pvt. unaided,Percentage of Schools with functional toilet facility - Others
2018-19,India,96.79,97.81,93.45,96.15,85.9,93.24,93.88,91.1,93.56,82.27
2018-19,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0,98.79,98.53,100.0,100.0,100.0
2018-19,Andhra Pradesh,97.73,97.9,83.12,99.51,92.75,70.3,60.9,73.79,95.99,87.75
2018-19,Arunachal Pradesh,73.56,71.85,84.38,84.1,61.7,68.2,65.65,84.38,82.9,61.7
2018-19,Assam,84.06,97.2,45.94,86.29,28.62,79.87,93.95,37.69,80.72,22.5
2018-19,Bihar,99.26,99.34,99.14,99.1,98.75,98.92,99.01,98.71,98.88,98.31
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,99.25,99.16,99.31,99.91,99.39,98.81,98.69,97.47,99.82,98.17
2018-19,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Gujarat,99.89,99.82,100.0,100.0,100.0,99.89,99.82,100.0,100.0,100.0
2018-19,Haryana,99.35,99.04,100.0,99.86,99.81,99.07,98.63,100.0,99.8,99.72
2018-19,Himachal Pradesh,98.87,98.85,0.0,99.03,100.0,98.37,98.37,0.0,98.34,100.0
2018-19,Jammu and Kashmir,96.08,95.28,100.0,99.5,95.74,91.09,89.15,100.0,99.34,95.74
2018-19,Jharkhand,98.67,99.17,88.02,99.14,97.8,96.2,97.07,83.52,98.0,93.66
2018-19,Karnataka,97.07,97.8,99.39,94.49,78.57,93.67,93.97,97.51,91.56,71.43
2018-19,Kerala,99.63,99.18,99.96,99.71,99.33,99.5,98.88,99.92,99.62,99.33
2018-19,Ladakh,95.16,94.74,100.0,97.35,0.0,87.67,86.86,100.0,91.15,0.0
