Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,25.7,24.9,73.5,66.6,39.0,24.8,26.1,29.4,15.6
2021-22,Andaman and Nicobar Islands,22.4,23.8,100.0,66.7,0.0,22.9,0.0,16.7,0.0
2021-22,Andhra Pradesh,18.9,13.1,75.6,100.0,0.0,13.0,13.8,36.3,26.9
2021-22,Arunachal Pradesh,5.8,4.0,57.9,37.5,0.0,3.5,10.0,14.4,14.9
2021-22,Assam,17.4,20.5,75.9,88.9,8.3,20.4,5.3,15.1,3.2
2021-22,Bihar,14.0,12.3,51.0,35.9,25.0,12.2,14.2,24.2,19.2
2021-22,Chandigarh,73.9,82.1,100.0,100.0,50.0,81.9,66.7,81.1,18.5
2021-22,Chhattisgarh,66.9,68.7,83.3,78.6,33.3,68.7,49.7,56.7,46.5
2021-22,Daman and Diu and Dadra and Nagar Haveli,84.4,94.0,100.0,33.3,0.0,94.5,50.0,30.2,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0
2021-22,Goa,6.5,3.2,80.0,50.0,0.0,2.6,10.5,10.8,0.0
2021-22,Gujarat,34.4,45.0,53.3,58.8,57.1,44.9,16.5,14.6,0.0
2021-22,Haryana,41.6,58.5,62.9,52.4,0.0,58.5,6.7,17.2,13.5
2021-22,Himachal Pradesh,22.5,20.8,80.0,75.0,36.4,20.7,0.0,32.5,50.0
2021-22,Jammu and Kashmir,3.9,1.8,50.0,25.0,0.0,1.7,100.0,12.3,15.0
2021-22,Jharkhand,4.5,3.3,34.2,57.7,16.7,3.3,4.8,18.5,7.8
2021-22,Karnataka,15.5,11.4,78.9,80.0,10.5,11.3,14.1,26.4,0.0
2021-22,Kerala,23.5,40.8,74.4,42.9,0.0,40.5,16.5,15.4,12.3
2021-22,Ladakh,23.9,26.7,0.0,50.0,0.0,26.7,0.0,8.9,0.0
2021-22,Lakshadweep,60.5,60.5,100.0,100.0,0.0,58.3,0.0,0.0,0.0
2021-22,Madhya Pradesh,9.6,5.6,64.3,57.4,23.1,5.5,12.9,21.9,5.8
2021-22,Maharashtra,48.6,45.6,83.3,91.2,63.6,45.5,49.7,57.6,48.1
2021-22,Manipur,7.6,4.0,55.6,63.6,0.0,3.6,2.3,20.3,10.5
2021-22,Meghalaya,2.3,1.9,100.0,0.0,0.0,1.8,2.5,3.7,1.9
2021-22,Mizoram,14.1,19.3,75.0,28.6,0.0,19.2,5.3,3.5,7.1
2021-22,Nagaland,4.6,4.5,33.3,72.7,0.0,4.0,0.0,5.0,0.0
2021-22,Odisha,53.2,55.2,88.9,74.2,60.0,55.1,31.2,58.1,47.4
2021-22,Puducherry,35.6,42.5,75.0,100.0,0.0,41.6,13.3,28.1,0.0
2021-22,Punjab,79.2,76.8,98.1,100.0,90.0,76.7,74.8,85.1,100.0
2021-22,Rajasthan,18.3,9.3,87.0,88.6,28.6,9.1,0.0,35.7,13.2
2021-22,Sikkim,13.5,16.7,100.0,75.0,50.0,16.1,5.6,6.7,0.0
2021-22,Tamil Nadu,29.9,36.2,80.0,0.0,25.0,36.1,9.5,24.5,19.4
2021-22,Telangana,4.5,3.4,45.7,44.4,0.0,3.3,3.8,7.0,0.7
2021-22,Tripura,7.5,7.2,66.7,50.0,0.0,7.0,18.6,13.6,1.5
2021-22,Uttar Pradesh,22.5,21.7,78.5,73.3,59.3,21.6,21.5,24.4,17.6
2021-22,Uttarakhand,6.1,4.6,66.7,46.2,14.3,4.4,5.1,10.9,5.7
2021-22,West Bengal,30.0,29.8,82.3,94.1,57.9,29.7,23.5,32.1,31.5
