Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,96.5,96.2,100,100,99.6,96.2,95.1,98.4,89.9
2021-22,Andaman and Nicobar Islands,100.0,100.0,100,100,0.0,100.0,100.0,100.0,0.0
2021-22,Andhra Pradesh,98.1,97.6,100,100,100.0,97.6,96.4,99.9,99.5
2021-22,Arunachal Pradesh,74.6,69.8,100,100,100.0,69.4,100.0,97.4,95.7
2021-22,Assam,86.9,94.9,100,100,100.0,94.9,58.6,92.8,35.2
2021-22,Bihar,99.3,99.2,100,100,100.0,99.2,99.2,99.9,99.7
2021-22,Chandigarh,100.0,100.0,100,100,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,98.5,98.3,100,100,100.0,98.3,99.3,99.8,99.7
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100,100,0.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100,100,0.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,99.1,98.6,100,100,100.0,98.6,99.9,100.0,100.0
2021-22,Haryana,98.9,98.3,100,100,100.0,98.3,100.0,99.9,99.7
2021-22,Himachal Pradesh,99.2,99.2,100,100,100.0,99.2,0.0,99.7,100.0
2021-22,Jammu and Kashmir,90.4,88.2,100,100,0.0,88.2,100.0,99.6,98.1
2021-22,Jharkhand,97.6,97.6,100,100,100.0,97.6,88.8,99.6,98.2
2021-22,Karnataka,98.9,98.4,100,100,100.0,98.4,99.9,99.8,100.0
2021-22,Kerala,99.9,99.7,100,100,100.0,99.7,100.0,100.0,99.9
2021-22,Ladakh,98.0,97.6,100,100,100.0,97.6,100.0,100.0,0.0
2021-22,Lakshadweep,100.0,100.0,100,100,0.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,97.9,97.5,100,100,100.0,97.5,98.9,99.0,97.3
2021-22,Maharashtra,96.5,94.5,100,100,100.0,94.5,99.5,99.1,100.0
2021-22,Manipur,83.0,80.1,100,100,100.0,80.0,65.0,99.5,97.8
2021-22,Meghalaya,76.3,80.4,100,100,0.0,80.3,75.1,67.2,62.5
2021-22,Mizoram,92.3,90.4,100,100,100.0,90.3,95.2,96.3,91.7
2021-22,Nagaland,80.3,74.2,100,100,100.0,74.0,0.0,96.0,100.0
2021-22,Odisha,95.9,96.4,100,100,100.0,96.4,88.4,98.7,97.1
2021-22,Puducherry,100.0,100.0,100,100,0.0,100.0,100.0,100.0,0.0
2021-22,Punjab,99.8,99.7,100,100,100.0,99.7,100.0,100.0,100.0
2021-22,Rajasthan,93.7,93.7,100,100,100.0,93.7,0.0,94.2,86.8
2021-22,Sikkim,99.8,99.8,100,100,100.0,99.8,100.0,100.0,0.0
2021-22,Tamil Nadu,100.0,100.0,100,0,100.0,100.0,100.0,100.0,100.0
2021-22,Telangana,82.8,76.1,100,100,87.5,76.1,85.9,98.9,98.2
2021-22,Tripura,82.5,82.3,100,100,0.0,82.2,100.0,95.9,64.8
2021-22,Uttar Pradesh,98.0,97.4,100,100,100.0,97.4,98.7,98.7,98.2
2021-22,Uttarakhand,95.1,93.7,100,100,100.0,93.7,97.2,98.8,96.8
2021-22,West Bengal,99.9,100.0,100,100,100.0,100.0,98.9,99.7,98.4
