Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,1.8,0.7,27.1,26.3,19.9,0.6,4.1,4.8,0.4
2021-22,Andaman and Nicobar Islands,3.9,3.8,50.0,33.3,0.0,3.3,0.0,4.2,0.0
2021-22,Andhra Pradesh,3.7,1.7,26.8,53.3,33.3,1.7,3.2,9.7,0.0
2021-22,Arunachal Pradesh,1.9,1.0,10.5,18.8,0.0,0.9,16.2,5.6,0.0
2021-22,Assam,1.0,0.9,39.7,22.2,0.0,0.8,0.1,3.5,0.0
2021-22,Bihar,0.8,0.4,18.4,25.6,75.0,0.4,1.9,4.8,0.3
2021-22,Chandigarh,9.4,7.3,0.0,100.0,100.0,5.2,0.0,17.1,0.0
2021-22,Chhattisgarh,1.3,1.0,38.9,28.6,0.0,0.9,1.4,3.3,0.0
2021-22,Daman and Diu and Dadra and Nagar Haveli,3.0,1.8,0.0,33.3,0.0,1.6,12.5,9.5,0.0
2021-22,Delhi,9.2,7.9,50.0,0.0,0.0,7.2,9.7,10.5,0.0
2021-22,Goa,3.2,0.9,20.0,0.0,0.0,0.7,5.6,7.2,0.0
2021-22,Gujarat,2.7,0.5,24.4,23.5,0.0,0.4,10.6,5.1,0.0
2021-22,Haryana,4.3,1.6,25.7,23.8,33.3,1.5,12.5,9.4,0.2
2021-22,Himachal Pradesh,1.1,0.5,28.0,16.7,36.4,0.4,0.0,5.1,0.0
2021-22,Jammu and Kashmir,1.1,0.4,22.2,10.0,0.0,0.4,0.0,3.8,0.0
2021-22,Jharkhand,1.1,0.6,26.8,26.9,8.3,0.5,1.5,16.3,0.6
2021-22,Karnataka,3.9,1.2,30.8,66.7,15.8,1.1,6.1,9.8,0.0
2021-22,Kerala,5.8,4.5,48.7,35.7,0.0,4.1,3.9,13.8,1.3
2021-22,Ladakh,2.5,2.3,66.7,0.0,0.0,2.0,0.0,4.5,0.0
2021-22,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,1.3,0.5,33.9,25.9,7.7,0.4,2.6,3.8,0.0
2021-22,Maharashtra,2.2,0.2,26.7,32.4,13.6,0.2,5.2,5.2,1.1
2021-22,Manipur,3.5,0.7,11.1,27.3,100.0,0.6,0.2,14.0,0.0
2021-22,Meghalaya,0.6,0.2,28.6,18.2,0.0,0.1,1.0,1.2,1.7
2021-22,Mizoram,0.4,0.4,50.0,28.6,0.0,0.2,1.7,0.2,0.0
2021-22,Nagaland,4.1,1.1,0.0,36.4,0.0,0.9,0.0,12.0,0.0
2021-22,Odisha,1.6,1.0,23.8,22.6,20.0,1.0,2.4,6.0,1.3
2021-22,Puducherry,3.8,2.8,25.0,50.0,0.0,2.2,3.0,5.3,0.0
2021-22,Punjab,2.2,0.6,32.7,13.0,47.6,0.4,1.8,6.1,0.0
2021-22,Rajasthan,1.7,0.6,24.7,28.6,14.3,0.5,0.0,3.9,0.0
2021-22,Sikkim,4.1,5.2,0.0,0.0,0.0,5.3,5.3,1.6,0.0
2021-22,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Telangana,3.4,1.8,14.3,33.3,50.0,1.7,2.7,7.5,0.0
2021-22,Tripura,2.2,2.0,44.4,25.0,0.0,1.8,4.7,6.1,0.0
2021-22,Uttar Pradesh,1.5,0.2,21.5,14.7,25.0,0.1,5.2,3.1,0.7
2021-22,Uttarakhand,1.3,0.5,20.0,30.8,42.9,0.4,3.1,3.6,0.0
2021-22,West Bengal,0.7,0.5,27.4,23.5,15.9,0.5,12.5,1.7,0.3
