Year,State,Percentage of Schools conducted medical checkups in last academic year - All management,Percentage of Schools conducted medical checkups in last academic year - Government,Percentage of Schools conducted medical checkups in last academic year - Government aided,Percentage of Schools conducted medical checkups in last academic year - Pvt. unaided,Percentage of Schools conducted medical checkups in last academic year - Others
2018-19,India,77.99,84.49,81.42,61.83,41.6
2018-19,Andaman and Nicobar Islands,98.31,99.41,100.0,94.44,0.0
2018-19,Andhra Pradesh,84.67,91.91,86.19,65.17,35.0
2018-19,Arunachal Pradesh,47.43,44.86,75.0,59.64,53.19
2018-19,Assam,72.38,84.11,56.96,49.19,30.29
2018-19,Bihar,59.04,62.75,37.11,50.2,38.48
2018-19,Chandigarh,96.94,100.0,100.0,98.65,77.78
2018-19,Chhattisgarh,96.46,97.92,95.62,86.98,78.29
2018-19,Dadra and Nagar Haveli,99.42,100.0,100.0,94.29,100.0
2018-19,Daman and Diu,97.86,100.0,100.0,91.3,0.0
2018-19,Delhi,77.33,82.22,52.57,74.57,0.0
2018-19,Goa,98.45,99.64,97.28,95.68,0.0
2018-19,Gujarat,95.0,98.36,96.16,85.83,100.0
2018-19,Haryana,87.07,96.51,80.77,73.08,62.84
2018-19,Himachal Pradesh,90.75,93.27,0.0,76.78,100.0
2018-19,Jammu and Kashmir,75.89,75.2,100.0,79.17,38.3
2018-19,Jharkhand,55.6,59.87,59.3,52.21,34.85
2018-19,Karnataka,83.13,89.59,81.93,67.89,28.57
2018-19,Kerala,81.41,85.59,86.55,72.69,58.7
2018-19,Ladakh,58.16,56.19,67.86,71.68,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,78.29,82.7,74.37,62.71,37.35
2018-19,Maharashtra,93.75,98.7,91.96,80.73,60.94
2018-19,Manipur,77.83,79.47,77.51,75.67,62.98
2018-19,Meghalaya,50.38,54.06,52.48,33.87,48.5
2018-19,Mizoram,81.78,88.81,83.98,65.66,60.22
2018-19,Nagaland,57.49,58.15,0.0,55.7,0.0
2018-19,Odisha,98.6,99.36,89.5,100.0,100.0
2018-19,Puducherry,99.46,99.76,100.0,98.94,0.0
2018-19,Punjab,87.63,97.83,92.79,64.73,67.14
2018-19,Rajasthan,80.86,85.79,0.0,72.07,73.52
2018-19,Sikkim,90.54,93.56,78.95,84.89,0.0
2018-19,Tamil Nadu,82.02,89.67,87.46,57.23,40.95
2018-19,Telangana,86.85,92.16,83.03,74.12,49.76
2018-19,Tripura,76.4,78.05,80.43,71.43,53.85
2018-19,Uttar Pradesh,66.15,80.33,58.86,45.69,34.23
2018-19,Uttarakhand,86.73,96.39,83.77,60.1,56.33
2018-19,West Bengal,67.85,75.42,43.31,25.25,27.56
2019-20,India,82.29,89.1,86.3,66.07,46.57
2019-20,Andaman and Nicobar Islands,98.8,99.42,100.0,95.89,100.0
